lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2026-02-07T14:51:11Z,5.0,1547.0,1883.0,11.63,12.0,5.12,116.6,132.0,0.411,56.9,0.25,Recovery
2,2,Lap 2,2026-02-07T15:22:37Z,5.0,1023.0,2503.0,17.6,7.8,5.078,116.6,140.0,0.411,56.9,0.16,Recovery
3,3,Lap 3,2026-02-07T16:04:23Z,5.0,951.0,951.0,18.94,16.2,5.162,125.8,139.0,0.472,61.4,0.2,Recovery
4,4,Lap 4,2026-02-07T16:20:13Z,5.0,1198.0,5270.0,15.01,21.2,5.212,113.0,147.0,0.387,55.1,0.17,Recovery
5,5,Lap 5,2026-02-07T17:48:02Z,1.537,315.0,315.0,17.57,3.8,1.575,107.3,122.0,0.349,52.3,0.04,Recovery
