lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-07-26T16:38:23Z,1.0,323.0,323.0,11.16,11.8,1.118,132.0,153.0,0.513,64.4,0.08,Run
2,2,Lap 2,2025-07-26T16:43:48Z,1.0,266.0,266.0,13.54,45.0,1.45,171.9,193.0,0.779,83.9,0.16,Run
3,3,Lap 3,2025-07-26T16:48:15Z,1.0,310.0,310.0,11.63,0.0,1.0,154.2,166.0,0.661,75.2,0.13,Run
4,4,Lap 4,2025-07-26T16:53:26Z,1.0,329.0,329.0,10.94,19.8,1.198,156.6,166.0,0.677,76.4,0.15,Run
5,5,Lap 5,2025-07-26T16:58:56Z,1.0,345.0,345.0,10.44,11.6,1.116,149.3,166.0,0.629,72.8,0.13,Run
6,6,Lap 6,2025-07-26T17:04:41Z,1.0,351.0,351.0,10.26,11.4,1.114,144.9,152.0,0.599,70.7,0.12,Run
7,7,Lap 7,2025-07-26T17:10:32Z,0.094,32.0,32.0,10.51,0.0,0.094,145.7,147.0,0.605,71.1,0.01,Run
