segmentIndex,startKm,endKm,distanceKm,actualTimeSec,elevGainM,elevLossM,netElevM,meanAltitudeM,avgGrade,netGrade,gapFactorIntegrated,gapFactorAvgGrade,absGradeMean,gradeStd,climbDistanceKm,descentDistanceKm,flatDistanceKm,climbShare,descentShare,flatShare,gradeSwitchCount,isMixedClimbDescent,terrainFamily,technicalityGps,meanHr,meanHrReserve,meanSpeedKmh,meanSpeedEqKmh,progress,activityId
0,0.0,0.9785276343432842,0.9785276343432842,,0.0,0.0,0.0,229.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9785276343432842,0.0,0.0,1.0,0,False,flat,0.14610467529316484,,,,,0.01580972464998639,route
1,0.9785276343432842,2.0000448161581676,1.0215171818148834,,57.5,0.0,57.5,242.6297610473224,0.05498471213042095,0.05628882315796426,1.3722767640698195,1.3346621489786425,0.05498471213042095,0.06188481922389564,0.545031142985783,0.0,0.47648603882910034,0.53355063692365,0.0,0.46644936307635,0,False,climb,1.0,,,,,0.04812374085282403,route
2,2.0000448161581676,3.0122615664168007,1.012216750258633,,66.0,23.5,42.5,337.03614870341806,0.037926575529447074,0.041987054639375174,1.3357448306210669,1.2232651082957742,0.08321694610490343,0.1001187970760992,0.43347637126597505,0.24868277846034248,0.3300576005323155,0.4282446137699429,0.24568135075496544,0.3260740354750916,1,False,flat,0.787361153244138,,,,,0.0809820601776482,route
3,3.0122615664168007,4.0045451244835535,0.9922835580667528,,19.5,29.0,-9.5,308.02571984778564,-0.008969011472583801,-0.009573876260238222,0.9808416879337835,0.9524610638693285,0.034994134019838016,0.046290191932519195,0.20427609845340955,0.31613040693011785,0.47187705268322544,0.2058646410018088,0.3185887787418636,0.4755465802563277,1,False,flat,0.8212918951265142,,,,,0.11336806219046368,route
4,4.0045451244835535,4.996013139164173,0.9914680146806196,,30.0,10.5,19.5,318.9768289061148,0.028394269245355132,0.019667805427169036,1.2016743591639845,1.1638913260874235,0.028394269245355132,0.06083750346411189,0.19983507754259122,0.0,0.7916329371380284,0.2015547396220985,0.0,0.7984452603779015,0,False,flat,0.6993209153465197,,,,,0.1454188342263108,route
5,4.996013139164173,5.996846958820322,1.0008338196561493,,21.5,0.5,21.0,354.81138865807117,0.017990481859299714,0.02098250437541654,1.1093518814429102,1.1015401996487355,0.017990481859299714,0.025674669945377405,0.3164927146819636,0.0,0.6843411049741857,0.3162290366953219,0.0,0.6837709633046781,0,False,flat,0.2300786742939735,,,,,0.1776077498123955,route
6,5.996846958820322,7.000992542378122,1.0041455835577997,,0.5,38.0,-37.5,340.18609293697307,-0.028597157265282624,-0.037345182425772686,0.8813180396956017,0.8558913313872223,0.029045538648749116,0.04228979641052064,0.0,0.3296894642853836,0.6744561192724161,0.0,0.32832835166914454,0.6716716483308555,0,False,flat,0.6943547277693982,,,,,0.21000149239175564,route
7,7.000992542378122,7.983568127544235,0.9825755851661127,,92.0,0.0,92.0,372.3159373886723,0.08538920718650303,0.09363147363817984,1.5664048623797866,1.5485578387290735,0.08538920718650303,0.04285924327002019,0.8192756881127057,0.0,0.16329989705340697,0.8338042390644179,0.0,0.16619576093558214,0,False,climb,0.8411740973394548,,,,,0.2421002431387429,route
8,7.983568127544235,9.014766401763056,1.0311982742188217,,117.5,0.0,117.5,472.5275900905741,0.1127992391503933,0.11394510923615678,1.7621095703777672,1.7567950747727201,0.1127992391503933,0.024598571884895108,1.0311982742188217,0.0,0.0,1.0,0.0,0.0,0,False,climb,0.47499951078395947,,,,,0.27463607463376555,route
9,9.014766401763056,10.00490736645516,0.9901409646921042,,54.5,5.5,49.0,572.9140965287739,0.05094853215760569,0.04948790298282135,1.3539430577525102,1.307722731953522,0.05094853215760569,0.06650500471870752,0.38464453184325365,0.0,0.6054964328488506,0.3884745158108505,0.0,0.6115254841891494,0,False,climb,1.0,,,,,0.3072941372881145,route
10,10.00490736645516,10.998801324042896,0.9938939575877352,,154.0,0.0,154.0,677.3197219553097,0.12790356856169105,0.15494610750403498,1.9381565844615642,1.8772606050617298,0.12790356856169105,0.082131365212239,0.7325999888822334,0.0,0.2612939687055018,0.7371007573688401,0.0,0.26289924263115994,0,False,climb,1.0,,,,,0.33934948730206954,route
11,10.998801324042896,12.00005999913323,1.0012586750903338,,0.0,155.5,-155.5,678.9589739268627,-0.13026278673076153,-0.1553045220666585,0.6251619543998925,0.5351775108908321,0.13026278673076153,0.07680137036914778,0.0,0.8186840028136206,0.1825746722767132,0.0,0.8176548410327219,0.18234515896727813,0,False,descent,0.9862770038683635,,,,,0.3715844622279488,route
12,12.00005999913323,13.00163410652284,1.0015741073896098,,29.0,34.5,-5.5,555.3410790796127,-0.00685128905967275,-0.005491356015916367,1.0334743988391681,0.963496402445788,0.05190464935115192,0.07346504316676002,0.20498014803537323,0.34516822014553483,0.45142573920870177,0.20465799437408624,0.3446257422180596,0.45071626340785415,1,False,flat,1.0,,,,,0.4039435226158802,route
13,13.00163410652284,14.009000597989733,1.0073664914668932,,9.0,17.5,-8.5,575.5685839870666,-0.0015682616726235919,-0.00843784270372403,1.0074066587141066,0.9915369268047959,0.018084274468817454,0.03517880299419152,0.0968326411589473,0.1151482190577493,0.7953856312501966,0.09612454055121772,0.11430618353214662,0.7895692759166356,1,False,flat,0.8118942927653712,,,,,0.4364012648312194,route
14,14.009000597989733,15.019433290512664,1.0104326925229312,,111.5,0.0,111.5,618.4152059879148,0.10035022418616166,0.11034876526173916,1.7177298128010259,1.6605056062241395,0.10035022418616166,0.08067382920774298,0.8075277057312888,0.0,0.20290498679164237,0.7991900021712356,0.0,0.20080999782876438,0,False,climb,0.7744968733420943,,,,,0.469002132071168,route
15,15.019433290512664,15.999802941526385,0.9803696510137208,,1.0,115.0,-114.0,628.852621409867,-0.10697980243417442,-0.11628266938100526,0.683465711072172,0.5807326272467166,0.10996539397682598,0.08228799795038715,0.030168129066344918,0.6751193777378734,0.2750821442095024,0.03077219805320422,0.6886375736333609,0.2805902283134349,1,False,descent,0.6009523036533707,,,,,0.5011668209151219,route
16,15.999802941526385,16.994233760598085,0.9944308190717006,,14.0,14.0,0.0,554.1477340262917,-0.004568502438721825,0.0,0.9905061229883604,0.9755235152192991,0.02245167770385306,0.03334048311634893,0.10152075676776562,0.18515517476836152,0.7077548875355735,0.10208931060939469,0.18619211232934588,0.7117185770612594,1,False,flat,0.6813859591992408,,,,,0.5330729731533951,route
17,16.994233760598085,17.99576756409467,1.001533803496585,,24.0,2.5,21.5,577.4710910053122,0.025734734616613426,0.021467073727255686,1.153940195443647,1.147705879526019,0.029379859855094656,0.022735486041475513,0.5042331182707649,0.0,0.49730068522582016,0.5034609081694208,0.0,0.49653909183057926,0,False,flat,0.2546475970306142,,,,,0.5653210671125366,route
18,17.99576756409467,18.99918845435203,1.0034208902573596,,51.0,31.5,19.5,568.582465481468,0.015752691243106586,0.019433520060558634,1.1961573910745,1.0884710327794662,0.06051471489191964,0.10246650937949221,0.1611665384170422,0.4756965886123652,0.3665577632279522,0.16061708499581454,0.4740748306429593,0.3653080843612262,1,False,flat,0.9875904733631248,,,,,0.597714410469897,route
19,18.99918845435203,19.998642106600254,0.9994536522482242,,25.0,15.0,10.0,597.3757514393486,0.01515171994499481,0.010005466464108133,1.1088526481488505,1.0849821524137655,0.025449488572759943,0.04692856984702405,0.19959981975719998,0.0,0.7998538324910243,0.19970893028226924,0.0,0.8002910697177308,0,False,flat,0.8749363866435169,,,,,0.6300741455597821,route
20,19.998642106600254,21.008447766368846,1.0098056597685918,,67.0,2.0,65.0,655.3156734274066,0.058403635240622274,0.06436882123922287,1.405140616022291,1.3577570586119758,0.06038421435567522,0.06922987144470415,0.543460204225358,0.0,0.4663454555432338,0.5381829651755943,0.0,0.4618170348244058,0,False,climb,1.0,,,,,0.662537037110848,route
21,21.008447766368846,21.997609852333362,0.9891620859645158,,0.0,34.5,-34.5,656.6076518163851,-0.025555503122664407,-0.034878004817946104,0.8771293025233733,0.8701704106165087,0.025555503122664407,0.02244299696201071,0.0,0.34999067980313825,0.6391714061613776,0.0,0.3538254091713069,0.6461745908286931,0,False,flat,0.7843459458271715,,,,,0.694833651468044,route
22,21.997609852333362,23.002612364465403,1.005002512132041,,106.0,35.5,70.5,638.8152361600944,0.06308546305141059,0.07014907838433089,1.6090489638409196,1.389786878987263,0.12691313611755226,0.14459288947661814,0.44135998276247435,0.30170886125460683,0.2619336681149598,0.43916306420584034,0.3002070717361224,0.26062986405803723,1,True,mixed_climb_descent,1.0,,,,,0.7270526630688927,route
