hrr,heartRateBpm,predictedTimeSec,predictedTimeMin,predictedTimeHours,distanceKm,avgSpeedKmh,paceMinPerKm,maxSustainableSec,maxSustainableHours,sustainabilityMarginMin,feasible,durationModel
0.5,130.0,24301.066999758503,405.0177833293084,6.750296388821806,30.947016978696297,4.584541951364268,13.087457948147948,86400.0,24.0,1034.9822166706915,True,power_law
0.51,131.5,23889.774350225267,398.1629058370878,6.636048430618129,30.947016978696297,4.66347063350375,12.865954289267371,86400.0,24.0,1041.837094162912,True,power_law
0.52,133.0,23498.23013800233,391.63716896670553,6.527286149445092,30.947016978696297,4.74117669581978,12.655086247450141,86400.0,24.0,1048.3628310332945,True,power_law
0.53,134.5,23125.720952920725,385.42868254867875,6.4238113758113125,30.947016978696297,4.817547584791554,12.454469612176355,86400.0,24.0,1054.5713174513212,True,power_law
0.54,136.0,22771.649972533713,379.52749954222855,6.325458325703809,30.947016978696297,4.892454488703463,12.263782961811556,86400.0,24.0,1060.4725004577715,True,power_law
0.55,137.5,22435.540326437243,373.92567210728737,6.2320945351214565,30.947016978696297,4.965748963577488,12.082769475477882,86400.0,24.0,1066.0743278927125,True,power_law
0.56,139.0,22087.588328812355,368.1264721468726,6.135441202447876,30.947016978696297,5.043975805089497,11.895378233071323,86400.0,24.0,1071.8735278531274,True,power_law
0.57,140.5,21745.87915284318,362.43131921405296,6.040521986900883,30.947016978696297,5.123235549147269,11.711349092662083,86400.0,24.0,1077.568680785947,True,power_law
0.58,142.0,21418.56718965163,356.97611982752716,5.949601997125453,30.947016978696297,5.201527260755985,11.535073641290433,86400.0,24.0,1083.023880172473,True,power_law
0.59,143.5,21105.173492970687,351.75289154951145,5.862548192491857,30.947016978696297,5.278765472381109,11.366293940112406,86400.0,24.0,1088.2471084504884,True,power_law
0.6,145.0,20805.288695210365,346.7548115868394,5.779246859780657,30.947016978696297,5.35485292972428,11.204789522219313,86400.0,24.0,1093.2451884131608,True,power_law
0.61,146.5,20518.575120817284,341.9762520136214,5.699604200227023,30.947016978696297,5.429678253353739,11.050378530797827,86400.0,24.0,1098.0237479863786,True,power_law
0.62,148.0,20229.729252528512,337.16215420880854,5.619369236813475,30.947016978696297,5.507204754575825,10.894819182117248,86400.0,24.0,1102.8378457911915,True,power_law
0.63,149.5,19943.707809690088,332.39513016150147,5.539918836025024,30.947016978696297,5.5861859884036225,10.740780941514327,86400.0,24.0,1107.6048698384984,True,power_law
0.64,151.0,19668.522255247874,327.8087042541312,5.46347840423552,30.947016978696297,5.6643432423389575,10.592578421364243,86400.0,24.0,1112.191295745869,True,power_law
0.65,152.5,19403.84157621144,323.39735960352397,5.389955993392066,30.947016978696297,5.741608468907068,10.450033353009383,86400.0,24.0,1116.6026403964759,True,power_law
0.66,154.0,19149.37745390232,319.15629089837205,5.3192715149728675,30.947016978696297,5.817905119448326,10.312990461021718,86400.0,24.0,1120.8437091016278,True,power_law
0.67,155.5,18904.885229717263,315.0814204952877,5.251357008254796,30.947016978696297,5.893146653341141,10.18131798331928,77813.29362219338,21.614803783942605,981.8068065412685,True,power_law
0.68,157.0,18670.16576982602,311.16942949710034,5.186157158285006,30.947016978696297,5.967234704651733,10.054908675408267,60664.69809570753,16.851305026585425,699.9088720980251,True,power_law
0.69,158.5,18445.068427863273,307.41780713105453,5.123630118850909,30.947016978696297,6.04005680754271,9.933681405955175,47467.53736908599,13.18542704696833,483.70781568704535,True,power_law
0.7,160.0,18229.49538575056,303.8249230958427,5.063748718264045,30.947016978696297,6.1114835471744255,9.817583494557603,37272.65716919712,10.353515880332534,317.3860297241093,True,power_law
0.71,161.5,18015.163751728265,300.2527291954711,5.004212153257852,30.947016978696297,6.184193641460447,9.70215414953121,29367.9417786022,8.157761605167277,189.21296711456554,True,power_law
0.72,163.0,17789.91257780267,296.4985429633778,4.941642382722963,30.947016978696297,6.262496267818504,9.58084403312556,23216.914491882922,6.449142914411923,90.45003190133757,True,power_law
0.73,164.5,17572.171558919497,292.8695259819916,4.881158766366527,30.947016978696297,6.340096370545404,9.463578547282953,18413.79850712117,5.114944029755881,14.027115803361205,True,power_law
0.74,166.0,17361.754389812708,289.3625731635451,4.822709552725752,30.947016978696297,6.4169356749268305,9.350257356395293,14650.479963226271,4.069577767562853,-45.187907109773946,False,power_law
0.75,167.5,17158.500357562752,285.9750059593792,4.766250099322987,30.947016978696297,6.4929486144867035,9.24079390773729,11692.11643531335,3.247810120920375,-91.1063987041567,False,power_law
0.76,169.0,16962.27549952549,282.7045916587582,4.711743194312636,30.947016978696297,6.568061055630377,9.135116055074711,9359.053181442998,2.5997369948452773,-126.72037196804155,False,power_law
0.77,170.5,16772.974337028398,279.54957228380664,4.659159538063443,30.947016978696297,6.642188730793982,9.03316699235492,7513.361413817949,2.0870448371716526,-154.3268820535075,False,power_law
0.78,172.0,16590.522327264043,276.50870545440074,4.608478424240012,30.947016978696297,6.7152352967345825,8.934906574186046,6048.777600003469,1.6802160000009636,-175.69574545434293,False,power_law
0.79,173.5,16414.879229968294,273.5813204994716,4.559688674991193,30.947016978696297,6.787089905596695,8.840313128977924,4883.155580273058,1.356432105631405,-192.19539416158725,False,power_law
0.8,175.0,16246.0436623899,270.767394373165,4.512789906219417,30.947016978696297,6.857624135359343,8.749385912043133,3952.7826439594924,1.0979951788776368,-204.88768364050682,False,power_law
0.81,176.5,16066.78985898492,267.779830983082,4.462997183051367,30.947016978696297,6.934133209005907,8.652847903480316,3208.083615845643,0.8911343377349009,-214.31177071898796,False,power_law
0.82,178.0,15889.514580646099,264.8252430107683,4.413754050179472,30.947016978696297,7.011495571992266,8.557375439224792,2610.3624384608265,0.7251006773502295,-221.31920236975455,False,power_law
0.83,179.5,15717.551821641568,261.95919702735944,4.365986617122657,30.947016978696297,7.0882070177053125,8.464764058121991,2129.322106788296,0.5914783629967488,-226.4704952475545,False,power_law
0.84,181.0,15550.809564863332,259.18015941438887,4.319669323573148,30.947016978696297,7.164209725455909,8.3749642039104,1741.1706363888425,0.4836585101080118,-230.16064880790816,False,power_law
0.85,182.5,15389.21414563716,256.486902427286,4.274781707121433,30.947016978696297,7.239437964081563,8.287936204121054,1427.1698098038862,0.3964360582788573,-232.70073893055454,False,power_law
0.86,184.0,15232.711979227392,253.87853298712318,4.23130888311872,30.947016978696297,7.313816559732352,8.203651200433674,1172.5196072870126,0.32569989091305906,-234.33653953233963,False,power_law
0.87,185.5,15079.16601460943,251.31943357682383,4.188657226280397,30.947016978696297,7.388290639904618,8.120958273614233,965.4979787969049,0.26819388299914027,-235.22780059687543,False,power_law
0.88,187.0,14921.692529344273,248.69487548907122,4.14491459148452,30.947016978696297,7.466261679378171,8.036150161428191,796.7954755551517,0.2213320765430977,-235.41495089648535,False,power_law
0.89,188.5,14768.468464684078,246.14114107806796,4.102352351301133,30.947016978696297,7.543724753160442,7.953630595398249,658.9990579919792,0.18305529388666086,-235.1578234448683,False,power_law
0.9,190.0,14619.411306844528,243.65685511407546,4.060947585234591,30.947016978696297,7.62063935304611,7.873355137324126,546.1904613345141,0.1517195725929206,-234.55368075850024,False,power_law
0.91,191.5,14474.44951904501,241.24082531741684,4.020680421956947,30.947016978696297,7.69696014875854,7.79528526072433,453.6328006400151,0.12600911128889308,-233.68027864008326,False,power_law
0.92,193.0,14333.523191610408,238.8920531935068,3.98153421989178,30.947016978696297,7.772636192371456,7.719388700951641,377.5253447369851,0.1048681513158292,-232.59996411455705,False,power_law
0.93,194.5,14196.584921982341,236.60974869970568,3.9434958116617613,30.947016978696297,7.847609952362404,7.645639929127454,314.8111062180016,0.08744752950500045,-231.36289692940565,False,power_law
0.94,196.0,14063.600980863392,234.39334968105652,3.9065558280176087,30.947016978696297,7.921816131935438,7.5740207801744255,300.0,0.08333333333333333,-229.39334968105652,False,power_law
0.95,197.5,13934.55283983701,232.24254733061682,3.870709122176947,30.947016978696297,7.995180211653624,7.504521275523612,300.0,0.08333333333333333,-227.24254733061682,False,power_law
