route,distanceKm,elevGainM,elevLossM,bestHrr,heartRateBpm,predictedTimeSec,predictedTimeHours,paceMinPerKm,maxSustainableSec,sustainabilityMarginMin,feasible,durationModel,alpha,fatigueCoef,fatigueModel,fatigueInputCol,hrrReference,hrrMinFactor,hrrMaxFactor,minFatigueFactor,powerLawCoefficient,powerLawExponent,powerLawFitWeightMode,powerLawFitWeightPower,routeModelMaeSec,routeModelMapePct,routeModelR2,powerLawMaeHrr,timeSensitivitySecPerHrr,powerLawTimeUncertaintySec,sustainableHrrAtPredictedTime,hrrSafetyMargin,hrrSafetyMarginToMae,timeUncertaintySec,timeUncertaintyMin,timeUncertaintyPct,timeLowerSec,timeUpperSec,timeLowerHours,timeUpperHours,sustainabilityRisk,uncertaintyMethod
30km - LUT By Night .gpx,30.06013264107194,515.9300000000001,493.56999999999994,0.73,164.5,15021.558702270671,4.172655195075187,8.328616333596571,18413.79850712117,56.53733008084164,True,power-law,0.85,0.3,linear,cumTrimpBefore,0.85,0.3,1.2,0.5,0.804463098025444,-0.05951020581919471,performance,4.0,545.948755546661,3.859596354229355,0.9909263178941036,0.03380946632479874,-17191.098021941056,581.2218496591304,0.7388992940795731,0.008899294079573128,0.26321900482190186,797.4201415841768,13.290335693069613,5.308504645817069,14224.138560686495,15818.978843854848,3.951149600190693,4.39416078995968,high,sqrt(route_model_mae_sec^2 + power_law_hrr_mae_time_sensitivity^2)
trail-du-gresivaudan-2026.gpx,30.947016978696297,1238.0,1239.0,0.73,164.5,17572.171558919497,4.881158766366527,9.463578547282953,18413.79850712117,14.027115803361205,True,power-law,0.85,0.3,linear,cumTrimpBefore,0.85,0.3,1.2,0.5,0.804463098025444,-0.05951020581919471,performance,4.0,545.948755546661,3.859596354229355,0.9909263178941036,0.03380946632479874,-21407.909399498003,723.7899919266702,0.7320352353252355,0.0020352353252355293,0.06019720351937985,906.6046525890748,15.110077543151247,5.159320517383006,16665.566906330423,18478.77621150857,4.6293241406473395,5.132993392085714,high,sqrt(route_model_mae_sec^2 + power_law_hrr_mae_time_sensitivity^2)
