hrr,heartRateBpm,predictedTimeSec,predictedTimeMin,predictedTimeHours,distanceKm,avgSpeedKmh,paceMinPerKm,maxSustainableSec,maxSustainableHours,sustainabilityMarginMin,feasible,durationModel
0.5,130.0,20625.181198725586,343.75301997875977,5.729216999645996,30.06013264107194,5.246813420215944,11.43551241384348,86400.0,24.0,1096.24698002124,True,power_law
0.51,131.5,20288.277171920658,338.1379528653443,5.635632547755738,30.06013264107194,5.3339412011598775,11.248717924928169,86400.0,24.0,1101.8620471346555,True,power_law
0.52,133.0,19968.70657554697,332.8117762591162,5.5468629376519365,30.06013264107194,5.419303303318472,11.071533856254074,86400.0,24.0,1107.1882237408838,True,power_law
0.53,134.5,19649.654038851222,327.4942339808537,5.458237233014229,30.06013264107194,5.507296835552105,10.89463702277181,86400.0,24.0,1112.5057660191462,True,power_law
0.54,136.0,19340.576731318324,322.34294552197207,5.372382425366201,30.06013264107194,5.595307679352878,10.723270897399384,86400.0,24.0,1117.6570544780282,True,power_law
0.55,137.5,19046.08127918112,317.434687986352,5.290578133105866,30.06013264107194,5.6818237789496475,10.559989597405593,86400.0,24.0,1122.565312013648,True,power_law
0.56,139.0,18765.740388533424,312.76233980889043,5.212705663481507,30.06013264107194,5.766704391476253,10.404556212155734,86400.0,24.0,1127.2376601911096,True,power_law
0.57,140.5,18499.21506913814,308.3202511523023,5.138670852538372,30.06013264107194,5.849787523601168,10.256782790473663,86400.0,24.0,1131.6797488476977,True,power_law
0.58,142.0,18226.730806346695,303.7788467724449,5.062980779540749,30.06013264107194,5.937240125924125,10.105705467093781,86400.0,24.0,1136.221153227555,True,power_law
0.59,143.5,17963.090131808294,299.3848355301382,4.989747258835637,30.06013264107194,6.02437980958709,9.95953142006702,86400.0,24.0,1140.6151644698618,True,power_law
0.6,145.0,17710.97941952764,295.1829903254607,4.919716505424344,30.06013264107194,6.110135128300272,9.81975009392156,86400.0,24.0,1144.8170096745393,True,power_law
0.61,146.5,17470.118709171467,291.1686451528578,4.852810752547629,30.06013264107194,6.1943756255673,9.686206266269979,86400.0,24.0,1148.8313548471422,True,power_law
0.62,148.0,17240.2927861134,287.33821310189,4.788970218364834,30.06013264107194,6.276951258915075,9.558780612607555,86400.0,24.0,1152.66178689811,True,power_law
0.63,149.5,17004.55237417756,283.4092062362927,4.723486770604878,30.06013264107194,6.363970960634767,9.4280757047979,86400.0,24.0,1156.5907937637073,True,power_law
0.64,151.0,16776.022897680323,279.6003816280054,4.660006360466756,30.06013264107194,6.4506634360175115,9.301368858432118,86400.0,24.0,1160.3996183719946,True,power_law
0.65,152.5,16556.724998012058,275.9454166335343,4.599090277225572,30.06013264107194,6.536104061694108,9.179780406441152,86400.0,24.0,1164.0545833664657,True,power_law
0.66,154.0,16346.461172848387,272.4410195474731,4.540683659124552,30.06013264107194,6.620177686385571,9.063200844803653,86400.0,24.0,1167.5589804525268,True,power_law
0.67,155.5,16145.080122084359,269.084668701406,4.484744478356767,30.06013264107194,6.702752584041561,8.951546286051599,77813.29362219338,21.614803783942605,1027.8035583351505,True,power_law
0.68,157.0,15952.480776472006,265.87467960786677,4.431244660131113,30.06013264107194,6.783677035829142,8.844760692925062,60664.69809570753,16.851305026585425,745.2036219872588,True,power_law
0.69,158.5,15765.307093447447,262.75511822412415,4.379251970402069,30.06013264107194,6.864216273518523,8.740983327036787,47467.53736908599,13.18542704696833,528.3705045939757,True,power_law
0.7,160.0,15568.68275494859,259.47804591580984,4.324634098596831,30.06013264107194,6.950907742882858,8.631966099886007,37272.65716919712,10.353515880332534,361.73290690414217,True,power_law
0.71,161.5,15379.266569181773,256.3211094863629,4.272018491439382,30.06013264107194,7.036517445162955,8.526945391323547,29367.9417786022,8.157761605167277,233.14458682367376,True,power_law
0.72,163.0,15196.925259298217,253.2820876549703,4.2213681275828385,30.06013264107194,7.120945563751252,8.425847306771507,23216.914491882922,6.449142914411923,133.66648720974507,True,power_law
0.73,164.5,15021.558702270671,250.35931170451119,4.172655195075187,30.06013264107194,7.204077795968063,8.328616333596571,18413.79850712117,5.114944029755881,56.53733008084164,True,power_law
0.74,166.0,14853.103298859396,247.5517216476566,4.125862027460943,30.06013264107194,7.285782326456262,8.23521720956814,14650.479963226271,4.069577767562853,-3.377055593885416,False,power_law
0.75,167.5,14679.249950177797,244.6541658362966,4.077569430604943,30.06013264107194,7.372071316664805,8.138825226007794,11692.11643531335,3.247810120920375,-49.78555858107411,False,power_law
0.76,169.0,14510.32081018476,241.838680169746,4.030644669495767,30.06013264107194,7.457896963373965,8.045163441471828,9359.053181442998,2.5997369948452773,-85.85446047902936,False,power_law
0.77,170.5,14347.203670731857,239.1200611788643,3.9853343529810714,30.06013264107194,7.542687759331071,7.954724087017112,7513.361413817949,2.0870448371716526,-113.89737094856513,False,power_law
0.78,172.0,14189.818498647945,236.49697497746575,3.941616249624429,30.06013264107194,7.626346842855688,7.867462788714837,6048.777600003469,1.6802160000009636,-135.6840149774079,False,power_law
0.79,173.5,14038.11162713874,233.968527118979,3.8994754519829833,30.06013264107194,7.708763142946725,7.783349791321337,4883.155580273058,1.356432105631405,-152.5826007810947,False,power_law
0.8,175.0,13890.508397111756,231.50847328519595,3.8584745547532657,30.06013264107194,7.790677951741519,7.70151203421105,3952.7826439594924,1.0979951788776368,-165.62876255253775,False,power_law
0.81,176.5,13737.820435250755,228.9636739208459,3.8160612320140985,30.06013264107194,7.877266850145995,7.616855076946895,3208.083615845643,0.8911343377349009,-175.49561365675189,False,power_law
0.82,178.0,13589.900069235773,226.4983344872629,3.7749722414543814,30.06013264107194,7.9630075980348645,7.534841485622466,2610.3624384608265,0.7251006773502295,-182.9922938462491,False,power_law
0.83,179.5,13446.672614223173,224.1112102370529,3.7351868372842145,30.06013264107194,8.047825704731844,7.455429851658203,2129.322106788296,0.5914783629967488,-188.62250845724793,False,power_law
0.84,181.0,13308.080938805364,221.8013489800894,3.6966891496681566,30.06013264107194,8.131636560182608,7.378588498875631,1741.1706363888425,0.4836585101080118,-192.78183837360868,False,power_law
0.85,182.5,13174.087225721583,219.56812042869305,3.659468673811551,30.06013264107194,8.214343480022894,7.304296459713268,1427.1698098038862,0.3964360582788573,-195.78195693196162,False,power_law
0.86,184.0,13044.675339078383,217.4112556513064,3.6235209275217732,30.06013264107194,8.29583525039302,7.232544787718326,1172.5196072870126,0.32569989091305906,-197.86926219652284,False,power_law
0.87,185.5,12909.418867483615,215.1569811247269,3.5859496854121153,30.06013264107194,8.382753601747003,7.157552619403693,965.4979787969049,0.26819388299914027,-199.0653481447785,False,power_law
0.88,187.0,12777.984232294384,212.96640387157308,3.549440064526218,30.06013264107194,8.468978795134097,7.084679446177544,796.7954755551517,0.2213320765430977,-199.6864792789872,False,power_law
0.89,188.5,12650.329054976233,210.83881758293722,3.5139802930489537,30.06013264107194,8.55443973335145,7.013901771506579,658.9990579919792,0.18305529388666086,-199.85549994973755,False,power_law
0.9,190.0,12526.401359582964,208.7733559930494,3.47955593321749,30.06013264107194,8.63907154188949,6.945190777628071,546.1904613345141,0.1517195725929206,-199.67018163747417,False,power_law
0.91,191.5,12406.16145923622,206.769357653937,3.4461559608989503,30.06013264107194,8.722800993960407,6.878524460381876,453.6328006400151,0.12600911128889308,-199.20881097660342,False,power_law
0.92,193.0,12289.583145921257,204.82638576535427,3.413773096089238,30.06013264107194,8.805545006933336,6.813888288885813,377.5253447369851,0.1048681513158292,-198.53429668640453,False,power_law
0.93,194.5,12176.655249553221,202.94425415922035,3.382404235987006,30.06013264107194,8.887208785173547,6.751276069950947,314.8111062180016,0.08744752950500045,-197.69740238892032,False,power_law
0.94,196.0,12067.383672063968,201.12306120106615,3.352051020017769,30.06013264107194,8.967683505280476,6.690691075869255,300.0,0.08333333333333333,-196.12306120106615,False,power_law
0.95,197.5,11956.997657579715,199.28329429299527,3.3213882382165876,30.06013264107194,9.050472418488681,6.6294881886419,300.0,0.08333333333333333,-194.28329429299527,False,power_law
