cohort,stage,r2,maeMin,mapePct,biasMin,validation,fitObjective,fatigueState,acuteTrimpCol,fatigueModel,alpha,fatigueCoef
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9862437427873263,4.932495480852038,5.546475542146827,-2.3897228276083577,loo,segment,cumulative,cumTrimpBefore,linear,0.6,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9842779249987258,5.55084244201015,5.887474331808388,-3.231204451182798,in_sample,segment,cumulative,cumTrimpBefore,exponential,0.6,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9842779249987258,5.550842442010145,5.887474331808384,-3.2312044511827933,loo,segment,cumulative,cumTrimpBefore,exponential,0.6,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear,0.9794560021280712,19.04477696059224,14.469953866028714,6.8533511961937315,in_sample,activity,decayed,decayedTrimpBefore,linear,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9794560021280712,19.044776960592234,14.469953866028712,6.853351196193734,loo,activity,decayed,decayedTrimpBefore,linear,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9793020403377558,19.061880167001867,14.444918308167779,6.733961311804506,in_sample,activity,decayed,decayedTrimpBefore,exponential,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9793020403377558,19.06188016700188,14.444918308167779,6.733961311804488,loo,activity,decayed,decayedTrimpBefore,exponential,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9908977619614562,10.545286698860446,7.485154748992982,1.1166116381746811,in_sample,activity,cumulative,cumTrimpBefore,linear,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.963291260674098,16.951825414820618,8.394829879051697,7.523150354134854,loo,activity,cumulative,cumTrimpBefore,linear,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9890363462679423,11.408165652481564,7.59712886640298,-0.6337451686156454,in_sample,activity,cumulative,cumTrimpBefore,exponential,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9786847081320013,15.327009444162872,8.492479055896755,3.931485162196835,loo,activity,cumulative,cumTrimpBefore,exponential,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear,0.9794560021280712,19.04477696059224,14.469953866028714,6.8533511961937315,in_sample,segment,decayed,decayedTrimpBefore,linear,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9486556571976432,24.855918235623424,15.392391076497114,1.0422099211625468,loo,segment,decayed,decayedTrimpBefore,linear,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9793020403377558,19.061880167001867,14.444918308167779,6.733961311804506,in_sample,segment,decayed,decayedTrimpBefore,exponential,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9483133401442853,24.867490632254203,15.366499715685755,0.928350846552162,loo,segment,decayed,decayedTrimpBefore,exponential,0.5,0.4
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9908977619614562,10.545286698860446,7.485154748992982,1.1166116381746811,in_sample,segment,cumulative,cumTrimpBefore,linear,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9747548046113965,15.189048313724298,8.234924121584012,1.16583677447938,loo,segment,cumulative,cumTrimpBefore,linear,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9890363462679423,11.408165652481564,7.59712886640298,-0.6337451686156454,in_sample,segment,cumulative,cumTrimpBefore,exponential,0.55,0.2
selectedDateRaces,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9820046423304661,14.065485777412585,7.9744461881936415,3.687888583202357,loo,segment,cumulative,cumTrimpBefore,exponential,0.55,0.2
