cohort,stage,fitObjective,alpha,mu,r2,maeSec,mapePct,biasSec,loadFactorCol,useHrrEffort,fatigueState,acuteTrimpCol,fatigueCoef,fatigueModel,segmentR2,segmentMaeSec,segmentMapePct,segmentBiasSec,raceR2,raceMaeSec,raceMapePct,raceBiasSec
hardTrailRun,Stage 0 reproduction Stage 3,activity,0.45,0.0,0.8581820986691203,2850.091808592207,35.10050921619099,958.0835699586505,,,,,,,,,,,,,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,0.4,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.1,exponential,0.19473888160390296,185.12500145492382,33.696903579981644,46.583015068734454,0.8582150525609065,2744.481497730155,32.65974543542585,665.7329691673498
hardTrailRun,Stage 2 TRIMP fatigue REDI,activity,0.4,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.1936429880911129,184.85697706011015,33.53788492122888,46.32286632642518,0.855322559545361,2766.1519267982726,32.74209485832955,660.8942025603969
hardTrailRun,Stage 3 HRR speed ratio,activity,0.45,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.0,exponential,0.45686782622936795,146.49133149931487,25.446528590150347,52.640295693583646,0.9619819292349444,1535.4244627642413,19.27078307684461,778.3983887895446
hardTrailRun,Stage 0 reproduction Stage 3,segment,0.45,0.0,0.8581820986691203,2850.091808592207,35.10050921619099,958.0835699586505,,,,,,,,,,,,,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,segment,0.5,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.32454082089156855,159.46340500486582,26.418568033632862,-67.0884666207833,0.784515678903775,2595.634499270165,19.929984373287986,-1448.5565902576798
hardTrailRun,Stage 2 TRIMP fatigue REDI,segment,0.45,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.1,linear,0.32121188829036174,164.18520393684616,28.17181180379081,-26.27351547481158,0.8237795904248388,2549.7826952717505,23.57931124704767,-689.3984989426067
hardTrailRun,Stage 3 HRR speed ratio,segment,0.55,,,,,,rediReadinessFactor,True,cumulative,cumTrimpBefore,0.2,linear,0.647842929263938,108.97777680763645,18.44123517151352,-29.35803330145742,0.939905176974478,1263.202509776957,9.562333234000429,-746.7705305182194
top10HardTrailByHRR,Stage 0 reproduction Stage 3,activity,0.7,-0.05,0.9748301332991514,460.91989698668823,9.809552064043954,39.00670717040062,,,,,,,,,,,,,,
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,activity,0.6,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.7872243467717108,57.965429076479495,15.249380753504122,5.519453214424835,0.9777556898600915,426.35910238576633,9.61809805214088,106.49957950214238
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,activity,0.6,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.7915811238282753,57.7834030065468,14.99757759015271,3.515829266681864,0.9798160257343511,412.0182065334002,8.880555351511735,75.64377070690065
top10HardTrailByHRR,Stage 3 HRR speed ratio,activity,0.6,,,,,,rediReadinessFactor,True,cumulative,cumTrimpBefore,0.4,linear,0.8765520166658757,45.918095704794176,12.632502425585454,-10.706712315357207,0.9862437427873263,295.94972885112213,5.546475542146824,-143.383369656501
top10HardTrailByHRR,Stage 0 reproduction Stage 3,segment,0.7,-0.05,0.9748301332991514,460.91989698668823,9.809552064043954,39.00670717040062,,,,,,,,,,,,,,
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,segment,0.65,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.8118277921527356,55.309497467456524,14.685188408359709,-25.85417105881271,0.9572059349253207,580.6974221451565,9.951193546828465,-376.65423430571593
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,segment,0.65,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.4,linear,0.813663200483109,54.96892892294916,14.670980163609501,-27.703670087498537,0.9545829683876501,572.0629230638508,9.421015158904602,-405.1365193474775
top10HardTrailByHRR,Stage 3 HRR speed ratio,segment,0.6,,,,,,rediReadinessFactor,True,cumulative,cumTrimpBefore,0.4,linear,0.8765520166658757,45.918095704794176,12.632502425585454,-10.706712315357207,0.9862437427873263,295.94972885112213,5.546475542146824,-143.383369656501
selectedDateRaces,Stage 0 reproduction Stage 3,activity,0.55,-0.05,0.9326471827328023,2249.853628236638,30.22441825370227,1031.8042174024076,,,,,,,,,,,,,,
selectedDateRaces,Stage 1 TRIMP fatigue CTL,activity,0.45,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.1,linear,0.3772735405925052,137.42693134118983,30.765337584792483,49.90287275607856,0.9325006556327102,2395.8844071557364,33.77941865794641,1455.8895723925084
