dailyId,athleteId,date,distanceKm,timeSec,distanceEqKm,trimp,ascentM,acuteDistanceKm,chronicDistanceKm,acuteTimeSec,chronicTimeSec,acuteDistanceEqKm,chronicDistanceEqKm,acuteTrimp,chronicTrimp,acuteAscentM,chronicAscentM
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-12,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-12,12.5501,5996.0,20.400100000000002,3.2446911802972114,785.0,12.5501,12.5501,5996.0,5996.0,20.400100000000002,20.400100000000002,3.2446911802972114,3.2446911802972114,785.0,785.0
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-13,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-13,0.0,0.0,0.0,0.0,0.0,6.27505,6.27505,2998.0,2998.0,10.200050000000001,10.200050000000001,1.6223455901486057,1.6223455901486057,392.5,392.5
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-14,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-14,0.0,0.0,0.0,0.0,0.0,4.183366666666667,4.183366666666667,1998.6666666666667,1998.6666666666667,6.800033333333334,6.800033333333334,1.0815637267657372,1.0815637267657372,261.6666666666667,261.6666666666667
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-15,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-15,8.4322,2903.0,8.8422,0.9339104319084398,41.0,5.2455750000000005,5.2455750000000005,2224.75,2224.75,7.310575,7.310575,1.0446504030514128,1.0446504030514128,206.5,206.5
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-16,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-16,0.0,0.0,0.0,0.0,0.0,4.19646,4.19646,1779.8,1779.8,5.84846,5.84846,0.8357203224411303,0.8357203224411303,165.2,165.2
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-17,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-17,0.0,0.0,0.0,0.0,0.0,3.49705,3.49705,1483.1666666666667,1483.1666666666667,4.873716666666667,4.873716666666667,0.6964336020342752,0.6964336020342752,137.66666666666666,137.66666666666666
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-18,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-18,6.0766,1725.0,6.8666,0.8435238131109387,79.0,3.865557142857143,3.865557142857143,1517.7142857142858,1517.7142857142858,5.1584142857142865,5.1584142857142865,0.7174464893309415,0.7174464893309415,129.28571428571428,129.28571428571428
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-19,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-19,6.018,2760.0,6.867999999999999,0.5429262338616824,85.0,2.9324000000000003,4.1346125,1055.4285714285713,1673.0,3.2252571428571426,5.3721125,0.3314800684115801,0.695631457397284,29.285714285714285,123.75
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-20,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-20,0.0,0.0,0.0,0.0,0.0,2.9324000000000003,3.6752111111111114,1055.4285714285713,1487.111111111111,3.2252571428571426,4.775211111111111,0.3314800684115801,0.6183390732420303,29.285714285714285,110.0
8c83ae21-a810-466d-a5c5-95ef9a470c8a-2025-04-21,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-04-21,11.4596,3758.0,13.169599999999999,2.0380580803980144,171.0,4.569485714285714,4.4536500000000006,1592.2857142857142,1714.2,5.106628571428571,5.61465,0.6226312227541536,0.7603109739576286,53.714285714285715,116.1
