activityId,athleteId,startDate,sportType,category,source,distanceKm,timeSec,ascentM,distanceEqKm,trimp,avgHr,hrSpeedShift,hrZone_z1_upper,hrZone_z2_upper,hrZone_z3_upper,hrZone_z4_upper,hrZone_gmm_sample_count,hrZone_gmm_fit_date,hrZone_zone_count
11415865449,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-15,TableTennis,OTHER,strava,0.1181,2600.0,0.0,0.1181,0.4563826869503674,119.7,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11419310335,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-15,Ride,RIDE,strava,7.1821,2051.0,34.0,2.83463,0.1616321120911547,94.9,-37.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11423962144,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-16,Soccer,OTHER,strava,6.877800000000001,4139.0,0.0,6.877800000000001,2.36484891539404,168.2,-16.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11430975244,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-17,Swim,OTHER,strava,1.0,1417.0,0.0,1.0,0.3341457518886181,130.6,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11433686061,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-17,WeightTraining,OTHER,strava,0.0,4646.0,0.0,0.0,0.8017766157332216,119.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11450736281,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-19,Run,RUN,strava,9.8176,3457.0,68.0,10.4976,1.3192783209688348,150.2,59.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11456544533,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-20,WeightTraining,OTHER,strava,0.0,6135.0,0.0,0.0,0.8544734580440797,111.8,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11462693706,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-21,Run,RUN,strava,10.1278,3174.0,25.0,10.3778,1.5383359385137516,160.7,-57.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11465359500,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-21,WeightTraining,OTHER,strava,0.0,3008.0,0.0,0.0,0.4489382575647233,114.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11465451642,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-21,Rowing,OTHER,strava,0.0,350.0,0.0,0.0,0.1044043149584448,139.9,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11470433931,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-22,TableTennis,OTHER,strava,0.2009,2788.0,0.0,0.2009,0.7797977860169752,137.3,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11478219965,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-23,Swim,OTHER,strava,0.85,1244.0,0.0,0.85,0.3351063675959047,135.8,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11485691806,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-24,WeightTraining,OTHER,strava,0.0,3527.0,0.0,0.0,0.5063233332474758,112.8,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11503292064,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-25,Hike,HIKE,strava,2.064,1335.0,25.0,2.314,0.160080057141136,107.0,19.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11508804849,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-27,WeightTraining,OTHER,strava,0.0,3676.0,0.0,0.0,0.6060065520843194,117.5,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11516128212,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-05-28,Badminton,OTHER,strava,0.1536,3293.0,0.0,0.1536,0.5523041051670723,118.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
