activityId,athleteId,source,startTime,distanceKm,elapsedSec,movingSec,ascentM,avgHr,maxHr,hasTimeseries,polyline,rawJsonPath
14243922808,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-21T17:04:08Z,11.4596,3802,3758,171.0,165.8,182.0,True,apmcHps`TgAoHaAeGwBkGc@yBs@_GGoA[oDg@yC[sAi@{AcC}F[uA_@qBGc@KuA_@}ASmAC[CwBJmDHYLOl@CLBh@?VDPAn@H\JnBv@fBh@lBXjA?|AOn@QfA_@TKnA_@|@e@hBe@vAQtBEj@EV?r@IdAQ`AYJGVI`Bs@n@]nAi@j@]t@k@v@u@rA}Ax@iALK~@cAp@g@`Am@z@c@n@Uh@Ex@Hh@Nl@ZZR~@|@ZPNDJ@\Ed@YH?HBHFXZ^l@NNh@~@v@zAhAbDpAlEjBnFl@pBJTVv@Hb@Rb@fBjFLNTJ\t@f@zAHz@BBF?LMHMDWCq@@YR}ABi@GgD@sFKkD@a@XkCFaBLqAP_DBq@@cCDw@?uAN}BNmBDmA?g@SqBIk@GyAGg@OoCCeCDo@AkAJu@A}@Hc@@[DmCJeAFoBJm@HaANaAFeAFkBA}@TiEP_BBk@H}@VuBV_CHc@\kDBm@AyBFm@T{@Tc@l@{@V}@VoBLcBRiIL{ARs@zAqD^o@NMXIt@Ad@E`@Ip@c@lAaAl@a@^]VOx@w@PINANDLNBR@h@J`@`@t@r@|@P^Zd@\dBHzA@lABXAhB@j@CpBBbDJ~AP`@FVRd@LRTVVj@n@`An@nA~@|A`@x@|@|ADNZf@DVBVO^kArBi@fAW`@uAlC_AxAQ^Qh@EZKVAN_@tA?FMjAAt@?`@A^DjCE`CWrEMfA?RMxAKd@Ix@i@`C}AjFYp@m@nBs@rB]jAO\mA~Di@xAe@`BCDk@nBw@~B_@pAu@jBq@rASZc@x@OP[h@UX?Fy@dAS`@IHi@~@]b@GNs@~@IPOl@Q^EBCHMJo@fAW\[j@CLg@fAEd@ShA?JKt@QZON@VKb@HtAIP?XHr@N`CVvBDN@X?VEFGTGb@GNO~@GJK@g@Gs@QOCO@[Jg@VCFw@l@aC|Bo@p@q@h@w@~@eD`GSd@UZa@^MNi@^aAh@gBlAq@r@[j@g@p@QZ_@d@IRONi@|@c@b@S\{@x@WLWTy@d@sElB]LsARQAKDQAm@DQAWBc@CMBoAKaA?]Gg@FO@aCI}AB_@DCDkAN,raw/strava/14243922808.json
14255253662,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-22T19:30:33Z,,4372,4372,0.0,130.7,176.0,True,,raw/strava/14255253662.json
14261379407,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-23T12:28:35Z,0.1128,3994,3994,0.0,111.6,167.0,True,,raw/strava/14261379407.json
14275324938,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-24T19:06:33Z,,5908,5908,0.0,129.1,171.0,True,,raw/strava/14275324938.json
14283547293,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-25T18:15:54Z,6.3695,1904,1893,51.0,165.9,182.0,True,scwrGmdgb@aCeESiAa@w@Yq@Mk@MmAIa@AYa@cB_@m@y@w@KUCc@NuB@m@BK?EGQGGIEE?MBSHO@IDIRE^Qd@Y`@WNKPYr@SZKHM@c@@y@Y{@MYMeAw@y@YSOOWAIL[NUBEASG[Gs@[gBMY]uAg@iCQ]UYaAyCQaAg@cBa@aBWwAKWc@i@[cAIKKEQCYNs@DMAs@Sa@CM?]NMKO_@WsAYyBS_CIKS@KFe@`@I@IAIGKOEKOKAERuBBaAG{EEwHMaHLkEXwDb@iDNy@Pi@Ha@`@mA`A{Bn@wBTgATm@Xk@j@}AVeBNuAP_ACEG@GLI^E^GvASjA_A`CWd@M^o@nC_@jAYd@m@~Ay@jDa@xDCrAW`EAx@A\DlBAVFhB?vEBN@DJ?\SRQVYd@s@d@[t@YjBq@TENCr@FZAn@Ox@YPIJCBB@\E~@AlBKfDD`DA`AG~@BjADzATrBHd@TdCNx@?JGDYf@QPS~@Fb@`@rBf@lB`@pBz@pCb@t@Pd@\xATlA\dARhAHfAHd@G^QTGN@FR^jA`@fAx@jB^n@Tl@BJAT]H]Ti@TOZ]ZcAFAHIJYJKLEf@?BBDx@CFKz@GhABVJTLPDHf@p@`@fAPXLp@NnAf@vBHTh@~@Jp@FNHJr@xAXb@N\X`@LZXh@Zd@,raw/strava/14283547293.json
14297933588,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-27T08:46:58Z,10.2044,1914,1896,77.0,146.1,175.0,True,o~vrG_nfb@{@xCc@tB]lBALBBF?BEbEkUHGHHN^BE?Fx@THKGGBBGID?AA@B?CA@AA@BHBMVEIi@GMEMYMKSDEFIp@YjAaAfFwBjM_A`Fg@fDg@zCa@tAKjABf@JLd@XHHJVr@hFjA`HLdA`@hB~A~IXrBx@`EhBhLn@bDBn@An@DZhDxR\vAZdBXlBNxA`@`CTfA`@z@|@~DvAnJPvAFtAFZ?VFh@h@xB~@zEd@`DrAhHl@|Ej@hFLvAN|@`@bAb@vABz@EdHBjAE^SL_@@KRAdBBbB?rAFxDCJEFMFMV?jCKzAYbCq@rEcBdIa@|AmAjE{@tA_@bAe@`A{@tBs@vAs@lAuCjEaClCcAtAkBfBmBtAg@Xq@b@M?KMc@TmBxAMh@@`CGJQFQLKb@DbGH~@Ap@N|@Dh@PdGJvFBdBKZ?bCF~OLbIBxH?r@C`@EZCfAP|@?zEB?B\Ad@B`AKvVIjEQ`EA~EMrFAdBD^f@DBFBR?n@J^PD~@BHBzA|@v@`AlBjF`@`BThARb@\RXTLVd@vBrBnF~AvERz@F`ANTTBb@e@LA@DOVAFH`@Rf@Zl@D@HEN@jALjARrETj@@FCFEJOBWBeACi@@OHSVUzFCbAGlAU`A[lAs@v@s@zBeCb@q@pBeCZSxAkB\YTIR@j@NZPl@`Av@xALNp@\`B`Ad@T\T^R\X,raw/strava/14297933588.json
14300194854,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-27T09:30:48Z,23.5397,11075,10836,1174.0,169.4,197.0,True,ousrG_vua@`@z@eAv@K~@k@dARfA}BzCcAhDcFJ{Cw@{K}@iEt@oEFkBr@[hBc@n@OfAB\ZEKlBXh@Wn@AbBw@l@sGeBaAnBErCmC~@oC}AeCkCoAwBwBsAqJmA{G?uA`@gB~D[pGaBnBSfDw@rCe@lFH|@~ApB|BJb@~EQl@XrAaA~As@`E}@tDaBjBsBrEcBt@uBlDw@AyAeAm@AkCpAeBtEo@Fi@lCu@x@AhAN~AtBMGv@s@f@a@xAXlElAdBIj@_D`BeAoAYaA[IiBl@q@zAd@`Ap@K`@fBlCpBr@GvA~DfBqAMsANWzAj@HbBX^dDt@nAbAv@?x@h@j@@nBwBvAi@~AlAl@nDRHh@w@j@JdA`An@|ArBfBTKP_DzAQdAhCQl@^vC]jBbC~EZChCsEdC}G^CvAtAfC{Ax@p@Lj@{CbCaBvHgCrEMdCnAfAtAw@vBmD|Bw@dFqG`DqAt@HtCy@dAoCLwEnCyGFw@xB`@lCvDpCfGpA~@|AbCbAFzBaA|F_AxENjAn@nAxBdA\hBMx@p@ZlAKdBm@dAaAJmC_DqCcCiAImCrDwDf@wCxEqCXs@|ACl@`@}Aj@Ip@bEhAzCfC`BrAlBKrEXv@IfGgAtBKxANhA[Zg@vBDzAi@XZj@O`CBxATr@aChCSnBYXl@~BApAp@bAJbAq@fFb@|I|@tBZfBaApCd@`B`@BdAfD\`BYp@~ArEEd@kBGh@hAITgCq@uAkAv@aBtB{B{CCkAeCsB}BcIaAmAxAcCGmEpDq@Ag@s@fA_@vAcApCcFdNUb@Y~@kC{BdAqAOx@c@f@s@oCkBqA}Fm@k@h@{@KcAqBgBYwAgA_Bf@aBYoC}@WyA}BsBKtBgChA[hBdBb@Cn@}AnBsAXu@l@qCZiEUkBVkA[_DNgBmAwE|AuHMW}ArA{CKoFoDHkDeBgJ]_I?oCcBkDKcALo@gCwGS}EcAuIxD{AnE}IdDkCvBPvCm@nB~C|@PdF}AlA{D^m@bKy@fAZjArAzFpBhAdBhD~@pBlCxEFdCpDnCjJzDtGfChC|DmCJwEi@uAHiAZFH_@i@}@SeDu@uBJqAoE}MGmB_DaJKcAvE_FrCgBd@qCxAyERkDfAaC|@a@aF`@_A]a@y@_E{@JiCw@sDIaIM_@}AMOmBwAoH?uAdAqABoE[aCcCe@oHf@yAk@wHgIcC_Bh@wClAcAQo@e@C,raw/strava/14300194854.json
14300887864,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-27T13:09:04Z,8.608799999999999,1868,1843,31.0,130.9,151.0,True,mmurGuzua@_@Jw@J_@BqBBqAAyADa@Ay@DECGOGA_EHuC?yBEe@Qg@c@Wc@uAuDAKg@cBESYu@W_@YaAUsABk@Ma@Q[Gm@?_ACIKCI@GRo@C]MMe@qAwDm@kAUYOMeAo@IUEy@SSqAEOIAOFq@FuAAm@DeGRyCCa@]O]S?]LcCF{C?}CHmHBwJAi@E]CeFQk@@aAFc@CgBEaRC}A@mAMoM@kBIiBGsEEuAEyCSqAAy@He@Be@QeC@MDEt@SFSEgBIcACyBHk@zBiBR@HHHBDAbCcBhAy@rAkAn@y@hEiFn@}@`@w@`@k@hBeDxAgDLUl@}Ah@eAtBmH^_B~@wEr@qEb@oEByCDUROB_@?}EIeFBMLMf@AHOBUD_GAaA@eACi@E[e@iAWw@a@{Ck@}EQuBOaA}AqIUeBOy@Ka@_AmFUq@[uCC}@a@uCw@wEi@{DWiAm@eB}@yFaAiF[qAoA{Gy@kFi@uCH_@C]i@sC_@iCmAcHGo@k@}Ca@iCw@mEwAoIs@mDm@_E_@wCKQw@k@GO?IjBeKLcArBwKd@yCZ}An@wD,raw/strava/14300887864.json
14335418358,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-30T18:42:53Z,21.6833,5343,3555,91.0,125.1,151.0,True,cewrGkxeb@a@nCq@pDw@zDOZ?l@eAlG[xABDRe@LeAlAiGTHl@j@nAnI|Gx_@LhAdCfNFx@Gl@BLrDdTRj@Nv@pAfIf@hCp@xBbCvNN|ABhAPxAf@vB~AvIh@rDt@|D`@lCv@fINdAVfAf@fAPr@Br@GtKQRo@?CPJhNc@n@@ZPJ^GXHEJWjBYvCHbBLl@b@`A`BhBzBfBlEzCHTwDdN]|@ERNdA\b@zHhFbJrHlJvIlPhNvEbEf@j@Nd@Gp@{EtLw@tAWTGH@JFAAQ^a@b@w@nC{GNYL?}CtHsAbCkD~HFR`@PtMrC`E`Ab@RpDp@b@CbD~@PTIbDGxCDbE@|FInDAVIT_@N?J^[FWFgBD]@sHIeC?oAL_HHOF@fB^FPa@vAGhAOvF?hECbAFdEL|@jBh@DH?d@I|Ax@R@FGJQ`AWBGHERR`A`AtCJ`BIv@YdAu@|@a@Pg@DkAUSBx@^z@Lp@?^Yh@o@^Dj@RFVCn@HZbAj@VZ^RjG~BnA`AbA~@pAbB~@hBdGnQp@zB|@rBlBxCfDtDrBjAlAb@`GdA~L`BTAJ_@R]f@YFU?Wi@mCIs@M?aAn@U?oC_AkAg@MUg@iBQ^i@`@UB|IdCbAg@FNAPWTk@J}EkBw@yBm@yCa@wAIa@Be@EYOOw@?cDmA[c@y@kCYa@iAs@MWAWbAqHFUPQHe@Ky@@m@PaCP}DRmAf@u@NkCVmCNyCtAkQJOxA`@DAAGY?dKdCLABGB]Tu@h@kD~DiYBYIe@FQ^FbAuClE{Rj@aD?}@KWB?aIuDgDsAmC_@wIaBQ?uAc@eEi@q@FOOVoB^qALmAzCiOjBkItAmH`A{DnEcTZkC?iAS{Aw@qCgFwOq@eCAiAI_@_@]Q]c@yAm@kCs@cH[kEAw@Da@Ec@[cAi@qFq@cECk@qBmHqAiD{LaVgC{EQgASaCSm@s@wAeDaFoBiCc@_@{CyFe@oAgDcHuCuGy@uAc@KEGAa@I[mAmAuBsCaBmBQOWCKSAYOOiAcA}AgAa@Ki@a@o@Gi@oAi@o@]Mc@q@wAiAa@SaBcBq@Uk@k@cBsBoBkBOy@MS}BaCm@]{BwByA_AmAq@uCeAiAYmN]eDg@eAe@eAeAwCkEwD}Ei@kBWg@g@w@gAiAo@}@q@uAm@sBWiAEmAg@gBoCcHO[SGOJGj@,raw/strava/14335418358.json
14345639474,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-05-01T16:52:45Z,1.5275999999999998,3599,3019,0.0,132.7,165.0,True,,raw/strava/14345639474.json
14345953945,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-05-01T18:02:02Z,0.5672999999999999,1167,1071,0.0,118.7,143.0,True,,raw/strava/14345953945.json
14347510613,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-05-01T20:22:23Z,3.8259000000000003,1598,1580,213.0,171.7,191.0,True,elvrGo}fb@LAFGNYTy@BGFA`@`@`@PTZ`@`@b@JLANDXXCUQ]S_@OOGS?SEKWm@e@y@Oe@O{@AOOg@G}@Lo@COB]AO?c@Ja@Bc@HQ?ONu@Fk@BGPGTYf@DNAPBBCDM?SAKD_@CY@YEUA]BUEc@BSEQMKEOAK@U@CL@FHAWLHB??K@DDWLN?IH@DDD?@SDB@IDDFAEk@OcAI[]s@k@{AICAJVhADXBn@?HE@EKMk@e@gAc@_@[]IMSMKKS[[u@EGe@MMGUWEOMiAIOi@m@M[AQL}@B[GS_@gAGKGAA@APMh@GHCEGS?a@E_@Ys@EWA?CD?fAW_@I}@Mo@C][iAGu@?o@IGOxAElA@xACFIBSaAUs@WuA{@eDa@wBS}@IWE]GMC?EPAv@KCEu@EWGSGEGDAJJ\R~AJ`@BTAlAItBF^CtABtADb@Al@JlEPlBd@vB^hAZbBA^J`ABzBDb@A\CN?jBGrAFhAPrB`AdFDf@?VCVAFUXG`@D~@Hb@,raw/strava/14347510613.json
14355034379,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-05-02T12:17:42Z,46.2874,16020,9037,336.0,118.3,172.0,True,ibduGswbc@oq@xe@EVTDc@`B~BtEfA|@?h@h@VX}@Ka@f@i@eBfAMh@Rv@X?HhEsK~D}HlA}DjGiE`EqJ|OsDfD_G|K{FlHkM|R_D`DmC`AyHdAsGfCgM~CkAz@{F|Is@s@yJbLmCvB}^|MwLhBaUZ{B|@_B`BiClFsA|AgUzTgJpKuKhJoF|@sBQmCqAsBPiHlHmGv@kGfD}H\gFbCkQ`BqBv@iArAwC`@gIfEkMzEEjBcGt@{KnMlFgGHk@g@oA}C|CgASsBqBTo@?uC_A_v@XsbBSsDa@k@kBMyCt@aCi@sAf@m@y@MoAoAaAf@t@_DxDoB_EeCi@e@pAiDaCgC}@yCuCcBSmBTcAtA^lBIz@Du@a@eB`A}B}@fC}CaB_Jo@gOaFgJiAwIlAiMlGkB`B}I~Awm@{BoHAyAb@ySuCiAJs@e@}_@oDwGIoBdAoB`CkCDaBp@Qb@x@~Lo@`Fw@b@d@n@}A|@XCdA~Cm@bAgBBaCrAoB`CwRzJ]p@eFxCkFjCqCXWKW}A}DaA`@eCjBi@Xq@mAyDy@}@oAGuBpAgA_@]nB}@pBgDoA[j@kAN}@iDoBgDoAo@mBoCW_AGwDm@yA}@o@aDm@a@r@o@FuAaBk@I@sBj@|Bf@j@DyB\qAz@WA}Cd@}EaGh@{G|A{G{@_A^?dGeAhDiGtHkFjIgOpHkCrBqFhIuGlOu@@yEaDkBe@kMZuP|HsMfDmB_@mDsC}Fd@c@}@HmBtAeBv@{BU}FN_DtE{NBsA_AoJ_JmIqD{F{AoAkCYuHjBwEbBoLfL{IdGkCxEeAp@cFnH}BdBaBh@}AfBkHrD_C~ByIbGsLnGmHnB_BxB}AxHwBfGgF|GaB~DwAxJcApBk@EgChCkA_@kEDqMpAsRM{Eb@_QxFiHpDwJpCyF`DaRvHuEhAqAe@{F~@qHzCqEr@kGxEmLvFcg@bEoCl@?XJ_@sBAmVxDqSjK_Ev@eGhHgIbDoEjD_JdBsOhMOl@q@RbELpGzDnLhNdOIjAn@Z]qDYeN\G~C~AtHB~AgCfPyNpn@mFfGMrGVhAtEdBhDnEtAvMpDjK~B|E|AdPHlGRz@|G`J~FNfJrAnTiC~DJ`KgA~IuG|BiCzEuAi@EiElB}KxJuAZ}Hv@mEIqQdCgSsAmAi@aFmFw@iBO{F_B}P_DgHkDuKgAiLq@uAmBmBgDgAu@{@CmHbGcIvN{n@vBgOCkAaBcHNgD|A_@lHA,raw/strava/14355034379.json
