templateId,athleteId,title,baseType,payloadJson,notes,lastUsedAt
e49761eb-cdfd-46f0-8d9d-8aeaf1803a64,8c83ae21-a810-466d-a5c5-95ef9a470c8a,Seuil 5x4',INTERVAL_SIMPLE,"{""type"":""INTERVAL_SIMPLE"",""plannedDistanceKm"":9.833333333333332,""plannedDurationSec"":2880,""plannedAscentM"":0,""targetType"":null,""targetLabel"":null,""notes"":"""",""stepEndMode"":""auto"",""stepsJson"":""{\""warmupSec\"": 600, \""loops\"": [{\""repeats\"": 5, \""actions\"": [{\""kind\"": \""run\"", \""sec\"": 240, \""targetType\"": \""hr\"", \""targetLabel\"": \""Threshold 30\"", \""ascendM\"": 0, \""descendM\"": 0}]}], \""betweenLoopRecoverSec\"": 120, \""cooldownSec\"": 600}""}",Test,2025-10-15
7e7d705e-33e1-4004-b033-6f3a49ac9d37,8c83ae21-a810-466d-a5c5-95ef9a470c8a,Grosse côte,INTERVAL_SIMPLE,"{""type"":""INTERVAL_SIMPLE"",""plannedDistanceKm"":7.666666666666665,""plannedDurationSec"":2100,""plannedAscentM"":350,""targetType"":null,""targetLabel"":null,""notes"":"""",""stepEndMode"":""auto"",""stepsJson"":""{\""preBlocks\"":[{\""kind\"":\""run\"",\""sec\"":600,\""targetType\"":\""sensation\"",\""targetLabel\"":\""Fundamental\"",\""ascendM\"":0,\""descendM\"":0}],\""loops\"":[{\""repeats\"":1,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":1200,\""targetType\"":\""hr\"",\""targetLabel\"":\""Threshold 30\"",\""ascendM\"":350,\""descendM\"":0}]}],\""postBlocks\"":[{\""kind\"":\""recovery\"",\""sec\"":300,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}],\""warmupSec\"":600,\""cooldownSec\"":300,\""betweenLoopRecoverSec\"":0}""}",,
d1c586b8-035c-4f6e-86d4-52de98a7854c,8c83ae21-a810-466d-a5c5-95ef9a470c8a,Interval Simple,INTERVAL_SIMPLE,"{""type"":""INTERVAL_SIMPLE"",""plannedDistanceKm"":22.749999999999996,""plannedDurationSec"":7560,""plannedAscentM"":0,""targetType"":null,""targetLabel"":null,""notes"":"""",""stepEndMode"":""auto"",""stepsJson"":""{\""preBlocks\"":[{\""kind\"":\""run\"",\""sec\"":600,\""targetType\"":\""sensation\"",\""targetLabel\"":\""Fundamental\"",\""ascendM\"":0,\""descendM\"":0}],\""loops\"":[{\""repeats\"":10,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":30,\""targetType\"":\""hr\"",\""targetLabel\"":\""MVA\"",\""ascendM\"":0,\""descendM\"":0},{\""kind\"":\""recovery\"",\""sec\"":30,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}]},{\""repeats\"":10,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":30,\""targetType\"":\""pace\"",\""targetLabel\"":\""MVA\"",\""ascendM\"":0,\""descendM\"":0},{\""kind\"":\""recovery\"",\""sec\"":30,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}]},{\""repeats\"":10,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":30,\""targetType\"":\""pace\"",\""targetLabel\"":\""MVA\"",\""ascendM\"":0,\""descendM\"":0},{\""kind\"":\""recovery\"",\""sec\"":30,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}]}],\""postBlocks\"":[{\""kind\"":\""recovery\"",\""sec\"":300,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}],\""warmupSec\"":600,\""cooldownSec\"":300,\""betweenBlock\"":{\""kind\"":\""recovery\"",\""sec\"":180,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0},\""betweenLoopRecoverSec\"":180}""}",,
f21d0c2a-ca76-4c43-b7a3-d0bcf5a74221,8c83ae21-a810-466d-a5c5-95ef9a470c8a,VMA 3x10 30/30,INTERVAL_SIMPLE,"{""type"":""INTERVAL_SIMPLE"",""plannedDistanceKm"":22.749999999999996,""plannedDurationSec"":7560,""plannedAscentM"":0,""targetType"":null,""targetLabel"":null,""notes"":"""",""stepEndMode"":""auto"",""stepsJson"":""{\""preBlocks\"":[{\""kind\"":\""run\"",\""sec\"":600,\""targetType\"":\""sensation\"",\""targetLabel\"":\""Fundamental\"",\""ascendM\"":0,\""descendM\"":0}],\""loops\"":[{\""repeats\"":10,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":30,\""targetType\"":\""hr\"",\""targetLabel\"":\""MVA\"",\""ascendM\"":0,\""descendM\"":0},{\""kind\"":\""recovery\"",\""sec\"":30,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}]},{\""repeats\"":10,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":30,\""targetType\"":\""pace\"",\""targetLabel\"":\""MVA\"",\""ascendM\"":0,\""descendM\"":0},{\""kind\"":\""recovery\"",\""sec\"":30,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}]},{\""repeats\"":10,\""actions\"":[{\""kind\"":\""run\"",\""sec\"":30,\""targetType\"":\""pace\"",\""targetLabel\"":\""MVA\"",\""ascendM\"":0,\""descendM\"":0},{\""kind\"":\""recovery\"",\""sec\"":30,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}]}],\""postBlocks\"":[{\""kind\"":\""recovery\"",\""sec\"":300,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0}],\""warmupSec\"":600,\""cooldownSec\"":300,\""betweenBlock\"":{\""kind\"":\""recovery\"",\""sec\"":180,\""targetType\"":null,\""targetLabel\"":null,\""ascendM\"":0,\""descendM\"":0},\""betweenLoopRecoverSec\"":180}""}",,
