segmentIndex,startKm,endKm,distanceKm,actualTimeSec,elevGainM,elevLossM,netElevM,meanAltitudeM,avgGrade,netGrade,technicalityGps,meanHr,meanHrReserve,meanSpeedKmh,meanSpeedEqKmh,progress,activityId
0,0.0,1.0035766676906568,1.0035766676906568,,57.0,0.0,57.0,246.31184370978855,0.0668510244222758,0.05679685651835991,1.0,,,,,0.023180900025177958,route
1,1.0035766676906568,2.001261846356877,0.9976851786662202,,31.5,36.0,-4.5,332.16033841846445,-0.008238540822381589,-0.0045104408647384485,0.6532734541869116,,,,,0.06940661678217756,route
2,2.001261846356877,3.0004284849813962,0.9991666386245193,,39.5,10.5,29.0,320.31433939402024,0.04515652866608281,0.029024187636931324,1.0,,,,,0.11553046943035378,route
3,3.0004284849813962,4.002290018535746,1.0018615335543495,,17.0,7.5,9.5,357.05584722107386,0.007265769060950613,0.009482348290483236,0.3262911327551663,,,,,0.16175078871456106,route
4,4.002290018535746,4.99194002458009,0.9896500060443438,,60.0,18.0,42.0,352.972892440474,0.03862346924738192,0.042439245938950744,1.0,,,,,0.20775129010590615,route
5,4.99194002458009,5.995569720421814,1.0036296958417248,,135.5,0.0,135.5,505.92611022894744,0.14337336706324322,0.13500995492800635,1.0,,,,,0.25379263301393007,route
6,5.995569720421814,7.014691974673496,1.0191222542516813,,93.5,2.5,91.0,609.3105643454564,0.09911957140466814,0.08929252562227606,1.0,,,,,0.3005147343146173,route
7,7.014691974673496,7.995874756809397,0.9811827821359014,,0.0,115.5,-115.5,656.4267783816792,-0.16103177493123266,-0.11771507012034213,0.5598620591473696,,,,,0.3467183504021261,route
8,7.995874756809397,8.99788307432187,1.0020083175124723,,37.5,20.5,17.0,566.0532676747391,0.017084406505819476,0.016965927031627057,1.0,,,,,0.3925266638990499,route
9,8.99788307432187,10.000765122182683,1.0028820478608136,,87.0,0.0,87.0,610.1481052343054,0.0867165837108568,0.08674998239880191,1.0,,,,,0.4388361932229084,route
10,10.000765122182683,11.008680471758414,1.0079153495757307,,0.0,98.0,-98.0,608.4398156509152,-0.09731268041736146,-0.09723038749360437,0.608612249154717,,,,,0.4852821648576657,route
11,11.008680471758414,12.001285350882341,0.9926048791239275,,24.5,3.0,21.5,568.2238943487587,0.03391478282540241,0.02166017964668468,0.7317750661783975,,,,,0.5314907515185577,route
12,12.001285350882341,12.999448148271295,0.9981627973889537,,51.0,30.5,20.5,575.6878969257666,0.008388498235592887,0.020537731974809088,0.5398013874758734,,,,,0.5774740709482453,route
13,12.999448148271295,14.008282584018042,1.0088344357467474,,53.0,9.0,44.0,612.0846100538863,0.0458436892949929,0.043614688833882684,0.5213456440044318,,,,,0.6238322653044219,route
14,14.008282584018042,15.00144179673534,0.9931592127172983,,38.5,29.5,9.0,665.6647470234942,0.005649136049947498,0.009061991153841152,0.8840828613803859,,,,,0.6700748854351553,route
15,15.00144179673534,15.9933880788281,0.9919462820927603,,65.0,33.5,31.5,634.3921814500511,0.031984435926829174,0.031755751867472926,1.0,,,,,0.7159274181773847,route
16,15.9933880788281,17.00197061835069,1.008582539522589,,150.5,0.0,150.5,821.2718205563915,0.18734751486692275,0.1492193192946201,0.8580174268294466,,,,,0.7621362033198934,route
17,17.00197061835069,17.99292458923554,0.9909539708848492,,0.0,197.0,-197.0,784.7755225698903,-0.19678270614166235,-0.1987983355312593,0.9572301683611473,,,,,0.8083220677751792,route
18,17.99292458923554,19.0094518174657,1.01652722823016,,0.0,168.5,-168.5,596.9239064281143,-0.15401869240536867,-0.165760439386724,0.6956739699907034,,,,,0.8546914409155415,route
19,19.0094518174657,19.992712215604513,0.9832603981388139,,0.0,37.5,-37.5,492.1115142314729,-0.06955179061664113,-0.03813842199989209,1.0,,,,,0.9008831057189088,route
20,19.992712215604513,20.99921674879793,1.006504533193418,,0.0,102.5,-102.5,400.5397113991556,-0.11995445385744319,-0.10183759398955711,0.4294859736233566,,,,,0.9468432634544961,route
21,20.99921674879793,21.64662861667625,0.6474118678783185,,0.0,73.5,-73.5,266.48599335323405,-0.17231306331454854,-0.11352896609830819,0.4013064213035646,,,,,0.9850458960759468,route
