hrr,heartRateBpm,predictedTimeSec,predictedTimeMin,predictedTimeHours,distanceKm,avgSpeedKmh,paceMinPerKm,maxSustainableSec,maxSustainableHours,sustainabilityMarginMin,feasible
0.55,137.5,14018.832265202123,233.6472044200354,3.8941200736672563,21.64662861667625,5.558798446677252,10.793699497391339,28210.0,7.836111111111111,236.51946224663126,True
0.56,139.0,13775.215488363274,229.58692480605455,3.826448746767576,21.64662861667625,5.657106640971584,10.606128504888014,28210.0,7.836111111111111,240.5797418606121,True
0.57,140.5,13540.288555612253,225.67147592687087,3.761191265447848,21.64662861667625,5.755258663799638,10.425248195602009,28210.0,7.836111111111111,244.4951907397958,True
0.58,142.0,13313.60528686721,221.89342144778684,3.698223690796447,21.64662861667625,5.853250215920402,10.250715036374919,28210.0,7.836111111111111,248.27324521887982,True
0.59,143.5,13094.74984072471,218.24583067874516,3.6374305113124192,21.64662861667625,5.9510768795046864,10.082208853096493,28210.0,7.836111111111111,251.92083598792152,True
0.6,145.0,12883.334189195199,214.72223648658664,3.5787039414431105,21.64662861667625,6.0487341146044225,9.919430886395295,33087.0,9.190833333333334,336.7277635134133,True
0.61,146.5,12678.99584094698,211.31659734911634,3.521943289151939,21.64662861667625,6.146217255499482,9.76210203866671,33087.0,9.190833333333334,340.1334026508837,True
0.62,148.0,12481.395785007257,208.02326308345428,3.467054384724238,21.64662861667625,6.2435215069168795,9.609961290840282,33087.0,9.190833333333334,343.42673691654574,True
0.63,149.5,12290.216630431443,204.83694384052404,3.4139490640087344,21.64662861667625,6.340641940116792,9.462764270031437,33087.0,9.190833333333334,346.6130561594759,True
0.64,151.0,12105.160920513285,201.75268200855473,3.3625447001425792,21.64662861667625,6.437573488839683,9.320281951579627,33087.0,9.190833333333334,349.69731799144523,True
0.65,152.5,11925.949602745994,198.76582671243324,3.3127637785405537,21.64662861667625,6.534310945108415,9.182299481005874,42256.0,11.737777777777778,505.5008399542334,True
0.66,154.0,11752.320638022613,195.8720106337102,3.264533510561837,21.64662861667625,6.630848954878945,9.04861510317654,42256.0,11.737777777777778,508.3946560329565,True
0.67,155.5,11584.027734535754,193.06712890892922,3.217785481815487,21.64662861667625,6.727182013532841,8.91903918747851,42256.0,11.737777777777778,511.19953775773746,True
0.68,157.0,11420.839193547903,190.34731989246504,3.172455331541084,21.64662861667625,6.82330446120449,8.793393339128302,42256.0,11.737777777777778,513.9193467742017,True
0.69,158.5,11262.53685569143,187.7089475948572,3.128482459914286,21.64662861667625,6.919210477935466,8.671509587883303,42256.0,11.737777777777778,516.5577190718094,True
0.7,160.0,11108.915137754004,185.1485856292334,3.085809760487223,21.64662861667625,7.014894078648073,8.553229646421595,13634.0,3.7872222222222223,42.08474770409994,True
0.71,161.5,10959.78015103743,182.6630025172905,3.044383375288175,21.64662861667625,7.1103491079296886,8.438404231528672,13634.0,3.7872222222222223,44.57033081604283,True
0.72,163.0,10814.948893368684,180.2491482228114,3.0041524703801903,21.64662861667625,7.205569234619028,8.326892441992102,13634.0,3.7872222222222223,46.98418511052193,True
0.73,164.5,10674.248507710741,177.90414179517902,2.9650690299196505,21.64662861667625,7.300547946184864,8.21856118777426,13634.0,3.7872222222222223,49.32919153815431,True
0.74,166.0,10537.515601083725,175.62526001806208,2.9270876669677013,21.64662861667625,7.3952785428872865,8.113284665620535,13634.0,3.7872222222222223,51.60807331527124,True
0.75,167.5,10404.595618178519,173.409926969642,2.8901654494940328,21.64662861667625,7.489754131710979,8.01094387677763,11532.0,3.203333333333333,18.790073030358023,True
0.76,169.0,10275.342264637171,171.25570441061953,2.854261740176992,21.64662861667625,7.583967620059242,7.911426182952416,11532.0,3.203333333333333,20.944295589380484,True
0.77,170.5,10149.616975497194,169.16028292495324,2.819338048749221,21.64662861667625,7.677911709196994,7.814624897044458,11532.0,3.203333333333333,23.039717075046763,True
0.78,172.0,10027.288424759625,167.12147374599374,2.7853578957665626,21.64662861667625,7.771578887430137,7.720438905541428,11532.0,3.203333333333333,25.078526254006253,True
0.79,173.5,9908.23207245076,165.13720120751267,2.752286686791878,21.64662861667625,7.864961423007865,7.628772319782553,11532.0,3.203333333333333,27.06279879248732,True
0.8,175.0,9792.329745911335,163.2054957651889,2.720091596086482,21.64662861667625,7.958051356733805,7.539534153575202,8181.0,2.2725,-26.85549576518891,False
