hrr,heartRateBpm,predictedTimeSec,predictedTimeMin,predictedTimeHours,distanceKm,avgSpeedKmh,paceMinPerKm,maxSustainableSec,maxSustainableHours,sustainabilityMarginMin,feasible
0.55,137.5,17495.161379182227,291.58602298637044,4.859767049772841,30.06013264107194,6.185508962302429,9.70009102980367,28210.0,7.836111111111111,178.58064368029622,True
0.56,139.0,17190.44977224128,286.5074962040214,4.77512493673369,30.06013264107194,6.295151025228224,9.531145441872027,28210.0,7.836111111111111,183.6591704626453,True
0.57,140.5,16896.591007668416,281.6098501278069,4.693497502130115,30.06013264107194,6.404633778419896,9.368217149615502,28210.0,7.836111111111111,188.55681653885975,True
0.58,142.0,16613.027415098506,276.88379025164176,4.614729837527363,30.06013264107194,6.513952863853582,9.210996955925877,28210.0,7.836111111111111,193.2828764150249,True
0.59,143.5,16339.239229531779,272.32065382552963,4.538677563758827,30.06013264107194,6.623103804751629,9.05919668010549,28210.0,7.836111111111111,197.84601284113702,True
0.6,145.0,16074.741435673479,267.91235726122466,4.465205954353745,30.06013264107194,6.732082002121801,8.912547408229631,33087.0,9.190833333333334,283.53764273877533,True
0.61,146.5,15819.080922790137,263.65134871316894,4.394189145219483,30.06013264107194,6.840882731180313,8.770797915673041,33087.0,9.190833333333334,287.79865128683105,True
0.62,148.0,15571.833915030347,259.5305652505058,4.3255094208417635,30.06013264107194,6.949501137653772,8.63371324236615,33087.0,9.190833333333334,291.9194347494942,True
0.63,149.5,15332.603646608912,255.54339411014854,4.2590565685024755,30.06013264107194,7.057932233955129,8.501073403814358,33087.0,9.190833333333334,295.90660588985145,True
0.64,151.0,15101.01825507895,251.68363758464918,4.194727293077486,30.06013264107194,7.1661708952283645,8.372672223034947,33087.0,9.190833333333334,299.76636241535084,True
0.65,152.5,14876.72886921238,247.94548115353967,4.132424685892328,30.06013264107194,7.274211855256342,8.248316270393476,42256.0,11.737777777777778,456.321185513127,True
0.66,154.0,14659.407870855473,244.3234645142579,4.072057741904298,30.06013264107194,7.382049702226059,8.127823899899642,42256.0,11.737777777777778,459.9432021524088,True
0.67,155.5,14448.747312590327,240.8124552098388,4.01354092016398,30.06013264107194,7.489678874345147,8.011024371888848,42256.0,11.737777777777778,463.45421145682786,True
0.68,157.0,14244.457475171166,237.4076245861861,3.9567937431031015,30.06013264107194,7.597093655303192,7.897757053201086,42256.0,11.737777777777778,466.85904208048055,True
