segmentIndex,startKm,endKm,distanceKm,actualTimeSec,elevGainM,elevLossM,netElevM,meanAltitudeM,avgGrade,netGrade,technicalityGps,meanHr,meanHrReserve,meanSpeedKmh,meanSpeedEqKmh,progress,activityId
0,0.0,1.0105444548218565,1.0105444548218565,,0.0,69.07000000000002,-69.07000000000002,212.21245781917702,-0.08022689319587421,-0.06834929395775666,0.8572011362940697,,,,,0.01680871583116575,route
1,1.0105444548218565,1.97928677479217,0.9687423199703136,,0.0,6.775000000000006,-6.775000000000006,171.2386156250149,-0.006812115155323598,-0.006993603830797462,1.0,,,,,0.04973083893729967,route
2,1.97928677479217,2.9692943139752734,0.9900075391831034,,1.329999999999984,2.9350000000000023,-1.6050000000000182,166.56121323401425,-0.003049768054666016,-0.0016211997752303693,0.38213920307151583,,,,,0.08231136482089352,route
3,2.9692943139752734,3.997794817092815,1.0285005031175416,,63.245000000000005,0.0,63.245000000000005,185.14178719293955,0.05419101952822989,0.061492434673872096,0.6884584773097207,,,,,0.11588586807412775,route
4,3.997794817092815,5.0035940893826405,1.0057992722898255,,39.05000000000007,0.0,39.05000000000007,242.78674925443838,0.013686626283518856,0.038824844157122874,0.8071169959225888,,,,,0.1497230403796792,route
5,5.0035940893826405,5.990375300324882,0.9867812109422411,,0.589999999999975,5.360000000000014,-4.770000000000039,265.92081967646493,0.0006215944446494307,-0.0048338982817126615,0.6880052035238342,,,,,0.18286628207831288,route
6,5.990375300324882,7.0112216635686755,1.0208463632437939,,20.814999999999998,35.889999999999986,-15.074999999999989,275.451838876388,-0.0009496754860976609,-0.014767158450854809,1.0,,,,,0.21625980695323244,route
7,7.0112216635686755,7.987664836757589,0.9764431731889136,,0.0,27.610000000000014,-27.610000000000014,237.57524407991812,-0.029988600716629402,-0.028276095074565362,0.14104963670920673,,,,,0.24948137587112465,route
8,7.987664836757589,9.034026678041961,1.046361841284372,,0.0,39.33000000000001,-39.33000000000001,196.61265737061302,-0.031553039923730083,-0.03758737986060714,0.47258414902558377,,,,,0.283127352065346,route
9,9.034026678041961,9.975652442280731,0.9416257642387702,,0.0,13.10499999999999,-13.10499999999999,173.26507167807733,-0.01049046092005318,-0.01391741867916533,0.8603779010953104,,,,,0.31619419892960277,route
10,9.975652442280731,10.965900414856538,0.9902479725758067,,44.375,0.0,44.375,180.25528510259642,0.04720193692395151,0.044812007930269154,1.0,,,,,0.34832768549604265,route
11,10.965900414856538,11.99902988125965,1.0331294664031123,,13.199999999999989,0.0,13.199999999999989,221.63762930970103,0.006478212470106316,0.012776714273726404,1.0,,,,,0.38198318301394657,route
12,11.99902988125965,12.992219083985296,0.9931892027256453,,31.105000000000018,9.300000000000011,21.805000000000007,250.80778979720006,0.02465649222389808,0.021954527838361264,0.7454862872609145,,,,,0.4156876029731611,route
13,12.992219083985296,14.00752106589749,1.0153019819121951,,4.394999999999982,0.5949999999999704,3.8000000000000114,251.03430927608338,-0.0005058621725297753,0.0037427288311239026,0.92033007905366,,,,,0.44909549256266984,route
14,14.00752106589749,14.980608922140197,0.9730878562427066,,4.014999999999986,6.884999999999991,-2.8700000000000045,253.96595799263642,-0.0017000738793664706,-0.0029493739764481987,1.0,,,,,0.48216902989360816,route
15,14.980608922140197,16.000689233693933,1.0200803115537358,,12.059999999999945,0.0,12.059999999999945,252.46931918454456,0.00821306899701652,0.011822598537982515,0.302751012498536,,,,,0.5153220467414634,route
16,16.000689233693933,16.992769302616953,0.9920800689230198,,19.190000000000055,0.0,19.190000000000055,273.7934243270891,0.013536149783620203,0.01934319678534848,0.9306113511992501,,,,,0.5487909672632492,route
17,16.992769302616953,18.019574267479072,1.0268049648621194,,14.404999999999973,0.0,14.404999999999973,292.72984563040444,0.008134675033217938,0.01402895437103218,0.9644813204549524,,,,,0.5823717411389221,route
18,18.019574267479072,18.997489643553028,0.9779153760739554,,10.350000000000023,0.08999999999997499,10.260000000000048,303.3222356427215,0.00712949072441146,0.010491705367381534,0.5130994280752066,,,,,0.6157169090540658,route
19,18.997489643553028,20.0242962051646,1.026806561611572,,0.06499999999999773,46.86500000000001,-46.80000000000001,291.58417614961627,-0.03780547829454328,-0.04557820503849084,1.0,,,,,0.6490621035284646,route
20,20.0242962051646,20.97662437260017,0.9523281674355708,,60.620000000000005,32.71500000000003,27.904999999999973,247.11269292621455,0.001728881643463067,0.029301874032711388,1.0,,,,,0.6819816976080829,route
