hrrLower,hrrUpper,hrrMid,hrrRange,activityCount,maxDurationSec,p90DurationSec,medianDurationSec,maxDurationMin
0.3,0.35,0.32499999999999996,0.30-0.35,1,4338.0,4338.0,4338.0,72.3
0.35,0.39999999999999997,0.375,0.35-0.40,1,33543.0,33543.0,33543.0,559.05
0.39999999999999997,0.44999999999999996,0.42499999999999993,0.40-0.45,7,18442.0,16619.2,2451.0,307.3666666666667
0.44999999999999996,0.49999999999999994,0.475,0.45-0.50,9,8540.0,3916.000000000001,1308.0,142.33333333333334
0.49999999999999994,0.5499999999999999,0.5249999999999999,0.50-0.55,20,33819.0,12180.20000000003,3745.0,563.65
0.5499999999999999,0.5999999999999999,0.575,0.55-0.60,42,28210.0,5372.699999999999,2213.0,470.1666666666667
0.5999999999999999,0.6499999999999999,0.6249999999999999,0.60-0.65,44,33087.0,4575.200000000001,2081.0,551.45
0.6499999999999999,0.7,0.6749999999999999,0.65-0.70,37,42256.0,7499.8,2821.0,704.2666666666667
0.7,0.7499999999999999,0.7249999999999999,0.70-0.75,52,13634.0,6266.9,3153.0,227.23333333333332
0.7499999999999999,0.7999999999999998,0.7749999999999999,0.75-0.80,26,11532.0,9308.5,2319.5,192.2
0.7999999999999998,0.8499999999999999,0.8249999999999998,0.80-0.85,4,8181.0,6671.1,2612.0,136.35
0.8499999999999999,0.8999999999999999,0.8749999999999999,0.85-0.90,3,3140.0,3069.0,2785.0,52.333333333333336
0.8999999999999999,0.95,0.9249999999999999,0.90-0.95,0,,,,
