cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr
3.391608440575323e-05,0.0,138.3,-224.05105641731106,0.04960227344341409,0.17220325786832083,104
8.13986022147413e-05,1.0,123.24000000000001,-226.0901790349332,0.17093706411235704,0.23599187699047589,104
0.0001899300709977346,9.0,108.92,-225.1511709672878,0.04883916095234698,0.2656998919780635,101
0.000298461539709865,13.0,78.72,-214.3382143106959,0.09767832184091736,0.28798090318252106,98
0.000406993009510626,14.0,32.24,-194.89093646720633,0.3907132912827395,0.3053105790263666,98
0.0005426573470246833,15.0,9.160000000000005,-163.04641857254302,0.48839161505060624,0.31917431995304746,98
0.000651188817970433,16.0,-13.919999999999993,-146.19811285889244,0.3907132954046988,0.6381721753069008,98
0.0007597202888453197,17.0,-29.71999999999999,-96.17276709408968,0.3907132951495924,1.0245418480722992,98
0.0008682517607380299,18.0,-34.199999999999996,-54.64683769264629,0.3907132988137564,1.3436264155077828,97
0.0009767832332458347,19.0,-20.119999999999997,-7.927417150583895,0.3907133010280974,1.6571616364376627,97
0.001085314705647373,20.0,-0.9199999999999932,49.591155312903325,0.390713300645538,1.9374007605927606,97
0.0012209790476814283,21.0,42.84000000000001,76.76125527055666,0.4883916313225996,2.801045821572947,98
0.0013295105212279552,22.0,82.4,99.00793900650453,0.39071330476749716,3.6873489255738554,98
0.001438041995827709,23.0,120.16000000000001,112.9678720986112,0.39071330855911407,5.326731526360095,99
0.0015465734709717504,24.0,153.88000000000002,116.9470704885482,0.3907133105185489,6.170758994671074,100
0.0018538594841239864,25.0,173.35999999999999,104.62064518300538,1.10622964734805,7.620688765258218,101
0.002165010012245701,26.0,175.64000000000001,87.7936059907624,1.1201419012381741,12.548418144557692,104
0.003290849504713556,28.0,176.56,54.42888408683753,2.0265110864421385,13.691940930816752,104
0.004478917327308467,32.0,177.11999999999998,28.305512424193637,1.0692610403354197,14.239040227646365,104
0.006477245153618029,36.0,177.48,13.396302822153473,1.798495043678606,14.018384865601353,107
0.008814875548265412,37.0,177.76000000000002,4.060276194001036,8.415469420730574,13.813163807422793,108
0.010886741128974137,41.0,177.88,0.5219482937884801,1.864679022637852,12.934913510909208,111
0.013013942878489218,44.0,178.0,0.2207578867808122,2.5526420994180974,12.037355370860496,111
0.013852287834040038,51.0,178.12,0.139529517921532,0.4311488342832786,11.503975524347648,111
0.014712807601787883,56.0,178.16,0.09706193515169619,0.6195742327784486,11.83144463128024,112
0.014851785225673073,58.0,178.2,0.06950086531642506,0.2501597229933428,11.386901622296758,112
0.015246853075085344,64.0,178.13333333333333,0.045640140523218964,0.23704070964736246,4.53077973772399,110
