cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted
0.004813817556155447,0.0,216.3,0.002202421063147621,2.2320438693609534,10.323034553639172,84,124.2,20.507966127756752,122.42857142857144
0.009659861255435456,5.0,216.32,0.0030290657891027667,3.489151463481607,12.35114119887791,82,125.0,18.8551241095468,122.33333333333331
0.017814656810127505,9.0,216.35999999999999,0.003513372900236502,7.339315999222842,12.166100787231231,81,125.42857142857144,19.149596347519523,
0.027067667433503854,11.0,216.4,0.003782962509168422,16.655419122077426,13.764707350708115,81,125.75,18.80834719010933,
0.03863070051427289,13.0,216.4,0.004200967515280371,20.813459545384266,14.901720347885307,81,126.11111111111111,19.00894294087144,
0.06335357408708045,16.0,216.56,0.0037808707637523344,22.036339433033426,16.06273611142826,81,126.4,20.970590748160657,
0.0753891706075373,20.0,216.64000000000001,0.0037808707637523344,10.832036868411162,19.096390058659175,84,127.0,19.54624885597709,
0.08897452653204654,22.0,216.72000000000003,0.003751416391663554,24.453640664116623,20.540562892025676,85,127.4,18.842525108283667,
0.10204121966477657,24.0,216.84,0.0037175030107554742,23.520047638914043,22.272348540721786,87,127.4,16.23813432460662,
0.11650994615592775,26.0,216.84,0.003293038863688481,26.043707684072114,22.051206669786808,88,127.0,16.53297687368852,
0.13428568066363966,28.0,216.84,0.0034966201496325123,31.996322113881458,22.05784792173007,89,126.6,17.61584953690491,
0.1589058973746343,33.0,216.88000000000002,0.0029768187186191724,17.726556031916125,22.184907335959092,92,125.9,18.745488423130723,
0.18611323362980764,37.0,216.96000000000004,0.002334897161915009,24.486602629656026,24.947568796893343,92,125.3,18.326150156133423,
0.2146520347877594,44.0,216.96000000000004,0.0013946697850635704,14.6770977383752,25.367256065273672,92,124.9,17.817966784439292,
0.2383496405153999,48.0,217.0,0.0002625283347028343,21.327845154876435,26.832844333925145,95,124.5,19.746519091352617,
0.25816383182595526,51.0,217.04000000000002,-0.00011464218960020957,23.777029572666464,25.36531487126326,98,124.1,18.07351387101517,
0.28223664579741603,53.0,217.11999999999998,-0.0008268079350950943,38.85614997713524,23.89567689987056,103,123.9,19.158797283550037,
0.2985229336616138,55.0,217.04000000000002,-0.0010321359320101067,29.31531815555602,25.23214591943434,106,123.8,21.29730148404336,
0.3201474092685927,57.0,216.95999999999998,-0.0012861884495265967,38.924056092561976,23.993355945521465,108,123.9,22.93100929748348,
0.3432427439305416,64.0,216.88000000000002,-0.0006385072353873348,11.877600683288016,26.09794690467769,107,124.1,23.0932022398059,
0.36811709453936076,69.0,216.71999999999997,1.4800857000650536e-05,17.90953243834978,25.02245954859137,107,124.4,22.67029530605614,
0.4264936114057876,74.0,216.6,0.0008534426219733153,31.234408325682146,25.14019925022144,109,124.7,22.477284544172534,
0.4504552925882494,81.0,216.64000000000001,0.0012987125779299169,12.323150322408924,23.357491014612588,110,124.9,22.624374795642705,
0.5123426129592881,86.0,216.95999999999998,0.002177579134707237,35.414375860174474,22.47212340859695,111,125.0,24.006947378732484,
0.5355459751346054,94.0,217.16000000000003,0.002841758630584658,10.441512978892803,20.157449134723556,114,124.8,21.932831855609003,
0.5787940189347116,98.0,217.6,0.0022846175408585056,24.633179653445413,22.372822457731424,114,124.6,21.318754947330525,
0.5902778539616402,100.0,217.68,0.0016413033382699795,20.670903048471608,24.260363556337147,113,124.3,22.28014833927317,
0.6015194508497592,102.0,217.76000000000005,0.0005765133158644922,20.23487439861425,22.08246006844685,114,124.1,20.931165472152568,
0.6101625493308942,104.0,217.8,-0.0006014630417696617,15.557577266042925,21.605811353497987,114,124.0,19.505254458754862,
0.6197173932983516,105.0,217.68,-0.0021965528404692632,34.39743828284658,19.426521974216236,114,123.6,19.746774597601117,
0.6301215802635367,106.0,217.51999999999998,-0.003322267747327088,37.4550730746664,21.014668539060246,113,123.1,20.059012998173177,
0.6410434118183215,110.0,217.4,-0.004357337023174262,9.829648399306265,20.387539162018406,112,122.88888888888889,20.070326079979186,
0.6519397625597728,115.0,217.28000000000003,-0.004802606979130592,7.845372533844997,19.758392242967382,110,122.75,20.304873137466007,
0.6639827816541214,118.0,217.16,-0.005308255136225659,14.451622913218241,20.16711476607751,109,122.42857142857144,19.610784271076223,
0.6914922950970688,121.0,217.11999999999998,-0.005828520207924905,27.335799402989366,19.996257712375048,109,122.33333333333331,19.686235518777814,
0.7074678441853132,124.0,217.11999999999998,-0.004894208593895709,19.17065890589322,19.385914711782284,108,,,
0.7281807477343775,129.0,217.11999999999998,-0.004370466488295041,14.91329055532626,18.873247960149392,110,,,
0.748982649404891,132.0,217.11999999999998,-0.004310976110310293,24.96228200461626,20.454530273356138,110,,,
0.7685127856830464,137.0,217.08,-0.0034858562049796364,14.06169812027185,20.944563540005994,109,,,
0.7843541706361998,139.0,217.08,-0.004103534609592087,28.514492915676165,21.236986214573314,110,,,
0.8024213847168646,141.0,216.92,-0.004947675564430308,32.520985345196735,19.707705618359366,109,,,
0.8170450092081674,143.0,216.71999999999997,-0.006480178993683349,26.32252408434481,20.296370578901964,109,,,
0.8351231504290471,148.0,216.68,-0.006809774775075,13.0162616790334,21.99322280139863,106,,,
0.883860601344172,155.0,216.12000000000003,-0.006809774775075,17.60437863611057,20.859529271427654,108,,,
0.9064135029349074,162.0,215.87999999999997,-0.006576048505310036,11.598635103806764,21.297188311226968,109,,,
0.9504652228583983,167.0,215.32,-0.005969880825086075,25.363507130730856,20.682758644228844,111,,,
