hr_smooth,speed_smooth,hr_shifted,cluster
123.0,20.18370989465739,,-1
123.0,18.392053364609897,,-1
122.71428571428571,17.353362434192583,,-1
122.75,16.302146373782954,,-1
122.66666666666667,18.69220887174424,,-1
122.7,18.25291246310304,,-1
123.0,16.99810712534257,,-1
123.1,17.13953554331069,,-1
123.3,15.87252342419771,,-1
123.2,15.997347467078146,,-1
123.1,14.336336132547336,,-1
123.1,15.555528937433607,,-1
123.2,15.82949089133451,,-1
123.1,16.146218079396597,,-1
123.0,13.513036698566967,,-1
123.0,13.184154405359758,,-1
122.7,16.18771440403976,,-1
122.8,16.301627807238468,,-1
122.5,16.308494517197907,,-1
122.2,17.48892815525724,,-1
122.0,18.793603958841338,,-1
121.9,18.312975078432338,,-1
121.8,20.44241714967527,,-1
121.7,20.45450208375882,,-1
122.0,22.00575337102537,,-1
122.2,23.46557636391224,,-1
122.8,20.62312082049323,,-1
123.1,20.4134198921595,,-1
123.5,20.851195133791634,,-1
123.9,20.328996180925863,,-1
124.6,19.04929194302035,,-1
125.6,19.370813268252626,123.0,1
126.4,18.9708876492292,123.0,1
127.1,19.41487766395099,122.71428571428571,1
127.7,18.21510459762293,122.75,4
128.4,18.814739039309323,122.66666666666667,1
129.0,20.326872133241544,122.7,1
130.1,20.8934789002804,123.0,1
131.4,21.84481700573861,123.1,1
132.4,20.927008335577767,123.3,1
131.9,21.62855738719048,123.2,1
131.3,20.89667336877679,123.1,1
131.1,19.358720658496438,123.1,1
130.7,20.248249103833786,123.2,1
130.4,19.75467265998117,123.1,1
130.1,18.13573547333521,123.0,4
130.0,18.4598727667074,123.0,1
129.3,17.486432073644625,122.7,4
128.3,15.859790156202653,122.8,4
127.3,15.898303104807018,122.5,4
127.3,15.651610975022141,122.2,4
127.4,16.186805616851437,122.0,4
127.4,17.24997547793017,121.9,4
127.6,16.49524823757922,121.8,4
127.4,17.153928945305523,121.7,4
127.3,17.753873969341313,122.0,4
126.7,16.090668611197597,122.2,4
126.6,17.324379546624982,122.8,4
126.7,18.55015848019766,123.1,1
126.8,18.830947037673536,123.5,1
126.9,20.23659229900044,123.9,1
126.8,20.170326413148125,124.6,1
126.7,20.09764176086022,125.6,0
126.8,21.116137270414335,126.4,0
126.8,20.510664119694106,127.1,0
126.4,21.62582489315414,127.7,3
126.0,22.347102374373662,128.4,3
125.3,22.5802196358666,129.0,2
125.0,22.56966315510173,130.1,2
125.2,23.176235502134418,131.4,2
125.5,21.75834046702783,132.4,2
125.7,21.294155620143336,131.9,2
125.6,21.80108408482864,131.3,2
125.4,21.146634161359582,131.1,2
125.4,22.25871819084893,130.7,2
125.6,20.47727047867053,130.4,2
125.8,20.100928957515134,130.1,2
126.4,19.736842933812074,130.0,2
126.5,19.4575854602437,129.3,2
126.1,19.82264299247691,128.3,0
125.4,20.72403177050558,127.3,0
124.8,21.87193604108835,127.3,3
124.5,20.747369919849497,127.4,0
124.4,19.826977585890095,127.4,0
124.2,19.2582012132928,127.6,0
123.8,19.000750426114987,127.4,0
123.6,20.542141182879078,127.3,0
123.0,19.885520845646397,126.7,0
122.6,21.363396712984944,126.6,3
122.7,21.28126429288525,126.7,3
123.3,22.121780937298013,126.8,3
123.9,20.74069666192263,126.9,0
124.2,20.574969127104062,126.8,0
124.4,22.207067205631887,126.7,3
124.7,22.19785634267624,126.8,3
125.1,24.705876653989023,126.8,3
125.6,22.99710173196741,126.4,3
126.1,25.100380306144352,126.0,3
126.4,22.624921731668014,125.3,3
126.9,21.417703005063487,125.0,3
127.1,19.792832452434723,125.2,0
127.1,21.345617920982214,125.5,3
127.2,23.532789178884855,125.7,3
126.8,22.92504101913375,125.6,3
126.4,22.381070151086345,125.4,3
126.3,19.84155722256431,125.4,0
126.0,19.773618156788597,125.6,0
125.9,19.92029724322582,125.8,0
125.9,20.39923397111704,126.4,0
125.4,21.262063845610403,126.5,3
125.0,21.061434053710222,126.1,0
124.9,20.085777278648145,125.4,0
124.9,17.608421875544927,124.8,4
125.2,17.569105903188703,124.5,4
125.5,17.90309345891849,124.4,4
125.8,18.081480437154518,124.2,4
126.1,17.622892265402367,123.8,4
126.3,17.19563926021745,123.6,4
126.6,16.415919841052037,123.0,4
127.1,15.804690034127777,122.6,4
127.1,15.663092245964418,122.7,4
126.8,15.568806239526875,123.3,4
126.6,17.141525505785623,123.9,4
126.2,16.54221788655142,124.2,4
126.2,16.305904182716308,124.4,4
126.3,15.888643002725832,124.7,4
126.3,18.550263482397337,125.1,0
126.1,17.220982716255733,125.6,4
125.8,17.461732057658743,126.1,0
125.2,19.61633789038371,126.4,0
124.8,19.782224007353644,126.9,0
124.8,20.695715527434107,127.1,0
124.9,19.663767402110356,127.1,0
125.0,20.297180660953043,127.2,0
124.9,21.20582877325824,126.8,3
124.3,21.806697665845324,126.4,3
124.0,19.386695716966734,126.3,0
123.8,19.960382374479885,126.0,0
123.6,21.034865026981343,125.9,0
123.7,19.16658798035383,125.9,0
124.2,19.35105312015017,125.4,0
124.1,18.56697266630696,125.0,0
123.9,19.09018446327979,124.9,0
124.4,19.52305700185638,124.9,0
124.7,18.802816041649525,125.2,0
124.8,20.294152533404155,125.5,0
124.4,22.43702624941851,125.8,3
124.44444444444444,22.1018229886787,126.1,3
124.5,22.199841984732743,126.3,3
124.42857142857143,23.353503368795053,126.6,3
124.16666666666667,24.39865572825094,127.1,3
