hr_smooth,speed_smooth,hr_shifted
126.8,0.88272,139.0
127.83333333333333,0.8016,141.66666666666666
129.0,0.7498285714285714,
130.875,0.7056,
132.88888888888889,0.6672,
134.8,0.6336,
135.3,0.8859600000000001,
135.8,1.21356,
135.6,1.4274,
135.5,1.63116,
135.6,1.9198799999999998,
135.9,2.2712399999999997,
136.5,2.2914000000000003,
136.8,2.34684,
136.9,2.40552,
137.7,2.38212,
140.4,2.1510000000000002,
143.1,1.8385200000000002,
146.7,1.55844,
150.2,1.28088,
152.1,0.8866799999999999,
154.1,0.52092,
155.2,0.4701600000000001,
156.1,0.38448,
156.4,0.30419999999999997,
156.0,0.32076,
154.1,0.30528,
152.9,0.29268,
151.9,0.32039999999999996,
150.9,0.32543999999999995,
149.2,0.42444,
147.4,0.49463999999999997,
146.2,0.51732,
144.6,0.5237999999999999,
143.8,0.52668,
141.6,0.52308,
141.5,0.594,
140.6,0.6573599999999999,
138.4,0.6228,
136.4,0.5698799999999999,
136.8,0.49607999999999997,
137.2,0.46188,
137.3,0.44172,
137.2,0.4377600000000001,
135.7,0.4248,
135.0,0.4122,
134.3,0.33192000000000005,
133.7,0.27647999999999995,
133.2,0.24084000000000003,
134.6,0.28008,
135.9,0.31248,
137.2,0.34199999999999997,
136.9,0.48456,
136.6,0.57168,
135.7,0.6552,
136.66666666666666,0.7168,
137.5,0.8019000000000001,
139.0,0.8958857142857143,
141.66666666666666,1.02,
