hr_smooth,speed_smooth,hr_shifted
122.8,0.43092558692856225,
122.66666666666667,0.3981339111913295,
122.42857142857143,0.35114203008407063,
122.25,0.4021762049807056,
122.44444444444444,0.46138012065599454,
122.9,0.46062177655331393,
123.6,0.6545759868405213,
123.8,0.5979610018381493,
123.9,0.5820865005259258,
123.7,0.5828034267707118,
123.88888888888889,0.6139938202730169,
124.125,0.6614711062439981,
124.57142857142857,0.7460825866444953,122.8
125.16666666666667,0.7438604462090529,122.66666666666667
