cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted,cluster
0.8386165928704392,140.0,212.71999999999997,0.0056125616652272226,30.97055496986809,22.46459263073924,118,123.2,18.556311354416472,123.2,0.0
0.8564247629960026,142.0,212.84,0.006784892828541382,32.0547062260141,21.98656434953664,118,123.4,19.80379711278964,123.4,0.0
0.8742484197984601,147.0,212.92,0.0077021906498592006,12.83303289776941,22.041180395871503,121,123.8,19.02005521740772,123.8,0.0
0.8962840807368959,150.0,213.08,0.0074650799957335714,26.442793126122982,22.76750827622099,121,123.9,19.24311055949034,123.9,0.0
0.9421569266401058,156.0,213.28000000000003,0.007717334120279179,16.07899698108805,21.862335481097087,123,124.2,21.141553603976647,124.2,0.0
0.9611672082372436,159.0,213.35999999999999,0.007801617785610578,22.812337916565422,21.251059348004254,127,124.5,22.07138448846857,124.5,0.0
0.9807034521146467,164.0,213.51999999999998,0.007639601162218787,14.066095591730244,20.976229919952758,127,124.8,23.047342777672707,124.8,0.0
1.0065968312451898,167.0,213.68,0.008227241074611997,20.431807226739735,20.577066823196752,126,125.1,22.94420405869741,125.1,0.0
1.018186793468883,169.0,213.92,0.008396464649095652,20.861932002647674,19.957478594509617,125,125.2,23.48131795355589,125.2,0.0
1.0436635057117352,176.0,214.32,0.00782245034439414,7.688031402375901,19.77589009046581,123,125.2,22.52911147673596,125.2,0.0
1.0591952731149152,178.0,214.44,0.007903184496683082,27.957181325724203,19.279896907321138,123,125.1,23.578552660468468,125.1,0.0
1.0747843807834188,180.0,214.6,0.007750809451465471,28.060393803306262,17.662654038376942,123,125.0,22.95240530565239,125.0,0.0
1.0863032753964152,186.0,214.68,0.00711761380955976,6.911336767797889,17.599260544272695,123,124.9,24.44098386146486,124.9,0.0
1.1000494107463625,188.0,214.71999999999997,0.00713183540414322,24.74304362990528,16.809320058441408,122,125.0,24.55919365119695,125.0,0.0
1.1127081581134906,192.0,214.76000000000005,0.006551569974338362,11.392872630415145,17.892037654063966,121,124.9,22.981839287399307,124.9,0.0
1.1249820133911406,198.0,214.8,0.006355979580355208,7.364313166590075,20.422755340361725,122,124.7,23.96543006578863,124.7,0.0
1.1524716944220657,203.0,214.84,0.006380326685955928,13.549394795592224,18.867542864699903,120,124.6,24.33488240565963,124.6,0.0
1.1801202556487917,208.0,214.95999999999998,0.006129590185805446,13.021968097506665,17.142239550929343,120,124.4,24.48612604042833,124.4,0.0
1.1976810318596878,210.0,215.11999999999998,0.006030883473483363,31.609397179612866,18.145701627062756,120,124.4,26.44490117253206,124.4,0.0
1.2155787952536403,212.0,215.28000000000003,0.006273709841930729,32.21597410911466,16.82644732300162,121,124.7,24.73004581496084,124.7,0.0
1.2375950453277518,218.0,215.44,0.005714606725572044,13.209750044466913,18.241491331805307,124,125.2,24.013924684113046,125.2,0.0
1.2779074068701213,225.0,215.76,0.004485206692294934,11.719221729417983,18.471573952931994,123,125.5,25.125967784601546,125.5,0.0
1.3182099218765242,229.0,216.04000000000002,0.0036522630870956785,16.880062613591036,20.784674956887688,124,125.5,22.27433040442336,125.5,0.0
