hr_smooth,speed_smooth,hr_shifted
133.2,1.62792,
132.16666666666666,1.3926,
131.28571428571428,1.2245142857142857,
130.25,1.1916,
130.0,1.0768,
129.5,0.9849600000000001,
126.5,0.9705600000000001,
123.9,1.01484,
124.3,0.8744400000000001,
124.6,0.6624,
125.5,0.5194799999999999,
125.5,0.6202799999999999,
125.1,0.62424,
125.3,0.6839999999999999,
125.3,0.8542799999999999,
125.9,0.95184,
126.9,0.9734399999999999,
127.6,0.9324,
128.1,0.8848800000000001,
128.5,0.8082,
127.6,0.68292,
127.0,0.57096,
127.5,0.6174,
128.0,0.9414,
127.9,1.26648,
127.0,1.2301199999999999,
128.4,1.19772,
130.4,1.1862,
131.1,1.20024,
131.9,1.2178799999999999,
132.1,1.3269600000000001,
132.9,1.67292,
134.1,1.8266399999999998,
134.55555555555554,1.4964,
135.5,1.0444499999999999,
137.42857142857142,1.0836,133.2
136.16666666666666,1.2581999999999998,132.16666666666666
