hr_smooth,speed_smooth,hr_shifted
132.8,0.8395199999999999,
134.33333333333334,0.7404000000000001,
135.42857142857142,0.6680571428571429,
134.0,0.8977499999999999,
133.22222222222223,1.1136,
133.3,1.1412,
132.1,1.1376,
130.7,1.0925999999999998,
129.9,0.9997200000000002,
132.5,0.8496,
134.7,0.8560800000000001,
136.5,0.84528,
138.4,0.9594000000000001,
142.4,0.8888399999999999,
146.1,0.8546400000000001,
149.4,0.9968400000000001,
153.5,0.9698399999999999,
157.5,0.96912,
160.4,0.9532800000000001,
159.6,1.0314,
158.5,1.2625199999999999,
156.6,1.57284,
154.3,1.8025200000000001,
151.4,1.9602,
148.1,1.8543600000000002,
145.5,1.8572400000000002,
143.8,2.1452400000000003,
142.4,2.403,
139.3,2.42028,
138.6,2.35548,
137.7,2.12616,
136.9,1.8086399999999998,
136.1,1.44864,
135.1,1.1156400000000002,
134.8,0.97524,
133.0,0.69732,
131.0,0.40176,
128.5,0.12672,
128.7,0.12311999999999998,
127.6,0.144,
126.6,0.18072000000000002,
125.4,0.21132,
126.7,0.26136,
128.5,0.31392000000000003,
128.55555555555554,0.3448,
129.25,0.38025000000000003,
129.57142857142858,0.42737142857142857,132.8
130.83333333333334,0.48360000000000003,134.33333333333334
