hr_smooth,speed_smooth,hr_shifted
126.4,0.56232,125.42857142857143
126.16666666666667,0.4926,125.66666666666667
126.57142857142857,0.46337142857142855,
127.375,0.4356,
128.33333333333334,0.4072,
128.7,0.40248,
128.4,0.42767999999999995,
128.0,0.33480000000000004,
127.6,0.24156,
127.7,0.2124,
127.8,0.18216,
127.7,0.17748,
127.5,0.24948,
126.6,0.28152,
125.7,0.27936,
124.8,0.27216,
124.1,0.29232,
124.9,0.33804,
125.7,0.37728,
125.2,0.39456,
125.44444444444444,0.4252,
125.625,0.4662,
125.42857142857143,0.3888,
125.66666666666667,0.36000000000000004,
