hr_smooth,speed_smooth,hr_shifted
123.4,19.88775073182718,
124.16666666666667,19.499084623251438,
124.71428571428571,19.50781206149091,
125.125,20.108389708657704,
125.33333333333333,19.397534128474387,
125.3,18.527927367144756,
125.5,16.628469932312036,
126.1,17.410772541272607,
126.9,18.357347925829025,
127.1,18.275317880675566,
126.8,18.20747370770494,
126.3,17.63236598853984,
125.8,16.999662770567717,
125.3,15.690738188008265,
124.8,15.98314341729556,
124.5,16.23801287117436,
124.2,16.00614497468244,
124.2,16.597744693398695,
124.0,15.467987559658038,
124.8,14.487582367459265,
126.1,15.590345072074777,
127.6,15.43795897437614,
129.0,14.955663271682932,
130.5,15.059916734731171,
132.1,14.461329569807422,
133.6,14.07655524140875,
134.9,13.12006418541244,
135.6,11.337347674652538,
135.8,10.775646849321603,
134.9,10.005271754120567,
133.8,6.968717512319681,
132.8,6.011492216079906,
131.6,5.200093852155172,
130.4,4.143515930951051,
129.55555555555554,3.4206987976519168,
128.625,2.6729839261109865,
127.85714285714286,2.7174201318341864,123.4
126.83333333333333,1.990565004817056,124.16666666666667
