timestamp,hr,paceKmh,elevationM,cadence,lat,lon
2026-05-20T08:01:06+00:00,81,0.0,219.4,,45.175769,5.729844
2026-05-20T08:01:12+00:00,83,0.0,218.6,,45.175769,5.729844
2026-05-20T08:01:14+00:00,86,0.0,218.6,,45.175769,5.729844
2026-05-20T08:01:16+00:00,89,0.0,218.6,,45.175769,5.729844
2026-05-20T08:01:18+00:00,94,0.0,219.0,,45.175769,5.729844
2026-05-20T08:01:19+00:00,97,0.0,219.0,,45.175769,5.729844
2026-05-20T08:01:20+00:00,99,0.0,219.0,,45.175769,5.729844
2026-05-20T08:01:23+00:00,101,4.392,219.0,,45.175758,5.729761
2026-05-20T08:01:25+00:00,101,9.648000000000001,218.8,,45.175815,5.729718
2026-05-20T08:01:29+00:00,100,10.3788,219.0,,45.175906,5.729743
2026-05-20T08:01:34+00:00,100,12.2004,218.6,,45.176085,5.729805
2026-05-20T08:01:35+00:00,100,15.120000000000001,218.6,,45.176125,5.729826
2026-05-20T08:01:39+00:00,103,18.432000000000002,218.8,,45.176302,5.729897
2026-05-20T08:01:40+00:00,107,18.648,218.8,,45.176347,5.729908
2026-05-20T08:01:41+00:00,110,18.241200000000003,218.6,,45.17639,5.729926
2026-05-20T08:01:44+00:00,112,18.720000000000002,218.4,,45.176537,5.729992
2026-05-20T08:01:48+00:00,115,20.7756,218.4,,45.176739,5.730086
2026-05-20T08:01:50+00:00,115,21.06,218.2,,45.176835,5.730129
2026-05-20T08:01:52+00:00,115,20.970000000000002,218.0,,45.176931,5.730174
2026-05-20T08:01:56+00:00,115,20.7,217.8,,45.177126,5.730261
2026-05-20T08:01:59+00:00,116,19.954800000000002,218.0,,45.177265,5.730336
2026-05-20T08:02:01+00:00,114,20.52,217.8,,45.177373,5.730388
2026-05-20T08:02:04+00:00,111,22.68,217.8,,45.177535,5.730457
2026-05-20T08:02:06+00:00,111,21.240000000000002,218.0,,45.177624,5.730514
2026-05-20T08:02:08+00:00,110,21.240000000000002,218.2,,45.177702,5.730596
2026-05-20T08:02:10+00:00,109,18.2988,218.2,,45.17777,5.73063
2026-05-20T08:02:12+00:00,108,17.28,218.2,,45.177846,5.730586
2026-05-20T08:02:13+00:00,108,15.840000000000002,218.2,,45.177885,5.730548
2026-05-20T08:02:17+00:00,107,19.296000000000003,217.8,,45.178051,5.730401
2026-05-20T08:02:20+00:00,106,18.720000000000002,217.8,,45.178175,5.730337
2026-05-20T08:02:25+00:00,109,17.6868,218.0,,45.178381,5.73023
2026-05-20T08:02:27+00:00,109,17.9496,218.2,,45.178465,5.730178
2026-05-20T08:02:32+00:00,109,18.309600000000003,217.6,,45.178684,5.730061
2026-05-20T08:02:34+00:00,109,19.1304,217.4,,45.178784,5.730015
2026-05-20T08:02:35+00:00,110,19.259999999999998,217.6,,45.178835,5.73
2026-05-20T08:02:40+00:00,112,20.0988,217.6,,45.179064,5.729865
2026-05-20T08:02:46+00:00,114,21.402,217.2,,45.179368,5.729655
2026-05-20T08:02:52+00:00,112,23.248800000000003,217.4,,45.17968,5.729414
2026-05-20T08:02:53+00:00,112,23.605200000000004,217.4,,45.179726,5.72938
2026-05-20T08:02:59+00:00,116,22.165200000000002,217.6,,45.18003,5.729167
2026-05-20T08:03:00+00:00,117,21.805200000000003,217.8,,45.180067,5.729132
